run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 20 20 20
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.724 | 2.724 | 2.724 Mbytes
Step Temp Press TotEng PotEng 
       0            1  0.038473589    1.4834718 -0.015401179 
     100    1.0231011  0.039788984    1.4813676 -0.052131031 
     200    1.0625514  0.041300631    1.4543823   -0.1382474 
     300    1.0557014  0.038350854    1.3851649  -0.19719742 
     400    1.0419079   0.03768318    1.3400836  -0.22160409 
     500    1.0160958  0.033158536    1.3003252   -0.2226734 
     600   0.99200986  0.035938623    1.2650753  -0.22182152 
     700   0.97722616  0.035921938    1.2416648  -0.22307315 
     800   0.98067801  0.035420734    1.2328204  -0.23709144 
     900    0.9994358   0.03130331    1.2352317  -0.26279565 
    1000    1.0140675  0.033862551    1.2429977  -0.27696076 
    1100    1.0118961  0.032853177    1.2460595  -0.27064425 
    1200    1.0136878  0.034557228    1.2391631  -0.28022616 
    1300   0.99680487  0.034180079    1.2183448  -0.27573914 
    1400   0.97753654  0.033003741    1.1912621  -0.27394101 
    1500   0.96335615  0.030252704    1.1773384  -0.26661012 
    1600   0.97274379  0.034294648    1.1901834  -0.26783605 
    1700    1.0052599  0.032093562    1.2341842   -0.2725728 
    1800    1.0349453  0.036090373    1.2749867  -0.27626485 
    1900       1.0367  0.038191457    1.2790988  -0.27478292 
    2000    1.0367249  0.036241091    1.2579604  -0.29595867 
    2100    1.0135993  0.032499011    1.2264539  -0.29280275 
    2200    0.9969141  0.032436744    1.2030836  -0.29116401 
    2300   0.99047194  0.035413113    1.1897715  -0.29482022 
    2400    0.9852618  0.034328336    1.1845419  -0.29224046 
    2500    1.0054573  0.032384407    1.1869442  -0.32010869 
    2600   0.99766857   0.03227746    1.1900529  -0.30532557 
    2700    1.0077154  0.032377226    1.1968362  -0.31360124 
    2800    1.0226289  0.035976921    1.2074447  -0.32534613 
    2900    1.0187789  0.034271454    1.2062831  -0.32073708 
    3000    1.0096491  0.034916834     1.183756  -0.32957982 
    3100   0.98534432  0.036637176    1.1492148  -0.32769119 
    3200   0.97838874  0.032986733    1.1233443   -0.3431362 
    3300    0.9685086  0.030636632    1.1147773  -0.33689417 
    3400   0.98764599  0.032127047    1.1273305  -0.35302542 
    3500   0.99926806  0.032482652    1.1577731  -0.34000286 
    3600    1.0252541  0.033079814    1.1936471  -0.34307859 
    3700    1.0284263  0.034209033    1.2118179  -0.32966258 
    3800    1.0372432  0.032526123    1.2065655   -0.3481303 
    3900    1.0140803  0.031453699    1.1816176  -0.33836004 
    4000    1.0038201  0.029575744    1.1612354  -0.34336357 
    4100    1.0018878   0.03639313    1.1545042  -0.34719834 
    4200    1.0027659  0.032398762     1.149052  -0.35396675 
    4300    1.0033396  0.033826408    1.1428941  -0.36098452 
    4400   0.99986788  0.028854143    1.1337313  -0.36494365 
    4500   0.98754252  0.031322598     1.125473  -0.35472789 
    4600   0.98951139  0.032250035    1.1248109  -0.35834101 
    4700    0.9963884  0.031645557    1.1348597  -0.35859999 
    4800    1.0074448  0.031796309    1.1591915  -0.35084026 
    4900     1.031356  0.030378206    1.1909783   -0.3548934 
    5000     1.040511  0.035738939    1.2084034  -0.35119039 
    5100    1.0257703   0.03515795    1.1944653  -0.34303411 
    5200    0.9978686  0.032589951    1.1491681  -0.34651025 
    5300   0.97230611  0.031401101    1.1137729   -0.3435905 
    5400    0.9722523  0.030992508    1.1096297  -0.34765306 
    5500   0.98665251  0.030077077    1.1234029   -0.3554639 
    5600     1.007961  0.031785123    1.1414035   -0.3694021 
    5700    1.0258128  0.034278704    1.1490429  -0.38852013 
    5800    1.0110105   0.03112678    1.1397177  -0.37565865 
    5900   0.98787472   0.03493919    1.1228879  -0.35781088 
    6000   0.97407985  0.030273853    1.1098109  -0.35021108 
    6100    0.9684059     0.031506    1.1137902  -0.33772732 
    6200    1.0035219  0.036671937    1.1624286   -0.3417233 
    6300    1.0346215  0.033598674    1.2147983    -0.335968 
    6400    1.0454788  0.035121187    1.2253653   -0.3416747 
    6500    1.0381848  0.032777883    1.2030569  -0.35305032 
    6600     1.012591  0.029930111    1.1615742   -0.3561711 
    6700   0.98995557  0.034815436    1.1302225  -0.35359517 
    6800    0.9791204  0.032302663    1.1159353  -0.35164187 
    6900   0.98258433  0.029968297    1.1174258  -0.35534335 
    7000   0.99134703  0.031271331    1.1335837  -0.35231964 
    7100     1.006228  0.031440811    1.1589499  -0.34925818 
    7200    1.0229206   0.03458717    1.1851631  -0.34806502 
    7300    1.0403011  0.036045305    1.1963293  -0.36294991 
    7400    1.0320408  0.031790723    1.1708954  -0.37600267 
    7500   0.97583674  0.031978263    1.0988072  -0.36384814 
    7600   0.95515244   0.03200905    1.0744083   -0.3572439 
    7700   0.96943422  0.029213401     1.086791  -0.36626776 
    7800   0.98790826  0.031036254     1.117778  -0.36297103 
    7900    1.0022813  0.032882461    1.1511844  -0.35110798 
    8000    1.0209048  0.034972661    1.1729146  -0.35729199 
    8100    1.0144311  0.034012391    1.1751003   -0.3454032 
    8200    1.0148516  0.034231353    1.1596244   -0.3615093 
    8300    1.0016057  0.031875427    1.1266217  -0.37465803 
    8400    0.9831983  0.031295457    1.0940751  -0.37961435 
    8500   0.97481945  0.031127248    1.0803798  -0.38075078 
    8600   0.97363638  0.030082069    1.0865407  -0.37281666 
