run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.735 | 2.735 | 2.735 Mbytes
Step Temp Press TotEng PotEng 
       0          1.5 -0.025599412    1.4658462   -0.7824633 
    9800    1.5021905   0.26946597   0.73614264   -1.5154502 
    9900    1.4892161   0.24184317   0.73456419   -1.4975817 
   10000    1.4919158   0.20531812   0.73421106   -1.5019812 
   10100    1.4700787   0.22771472   0.74421818   -1.4592431 
   10200    1.5173966   0.20441477   0.75688383    -1.517501 
   10300    1.5160012   0.21617321   0.75756075   -1.5147326 
   10400    1.5176726   0.19231519   0.75236447   -1.5224341 
   10500    1.5181006   0.20866672   0.74454356   -1.5308966 
   10600    1.5069198    0.2140705   0.73120522   -1.5274762 
   10700    1.4810557   0.20685923   0.71809127   -1.5018232 
   10800    1.4876042   0.18586952   0.71604881   -1.5136809 
   10900    1.4899217   0.23957971    0.7378716   -1.4953318 
   11000    1.5305459   0.23301945   0.78892996   -1.5051639 
   11100     1.559886   0.23526176   0.83647001   -1.5016011 
   11200    1.5506423   0.24906871   0.84977587     -1.47444 
   11300    1.5252085    0.2357994   0.81626894    -1.469825 
   11400    1.4803077   0.22753784   0.74598069   -1.4728125 
   11500    1.4641186   0.18399936   0.69989607   -1.4946318 
   11600    1.4684552   0.22041831    0.6960842   -1.5049438 
   11700    1.4783061   0.21986648   0.71296275   -1.5028304 
   11800     1.493582   0.26754918   0.73574947   -1.5029402 
   11900    1.5036177   0.23804691   0.74775864   -1.5059734 
   12000    1.5060962    0.2354558   0.74814979   -1.5092972 
   12100    1.5079127   0.20514675   0.74500581   -1.5151638 
   12200    1.4938579   0.27245044   0.74107155   -1.4980317 
   12300    1.5002781   0.18937083   0.72808164   -1.5206447 
   12400    1.4823079   0.22526034   0.70070413   -1.5210873 
   12500    1.4680466   0.18948074   0.67340138   -1.5270141 
   12600    1.4618996   0.22598849   0.66889183   -1.5223101 
   12700    1.4750404   0.18867525   0.69358076   -1.5173176 
   12800    1.5366083   0.20941264   0.74338072   -1.5598001 
   12900    1.5311694   0.23715803   0.78092469   -1.5141039 
   13000    1.5026312   0.30538994    0.7903293    -1.461924 
   13100    1.5052264   0.20977056    0.7771151   -1.4790282 
   13200     1.474943    0.3035293   0.75576982   -1.4549824 
   13300    1.4872256   0.23173287   0.71304684   -1.5161155 
   13400    1.4439667   0.25409164    0.6493384   -1.5149844 
   13500    1.4135474   0.22336604   0.61452973   -1.5041984 
   13600    1.4384561   0.21473144   0.63458312   -1.5214799 
   13700    1.4871223   0.22424386   0.69775656    -1.531251 
   13800    1.4988972   0.22042951   0.74067696   -1.5059796 
   13900    1.5229651   0.22173919   0.75562798   -1.5271033 
   14000    1.5061609   0.24667884   0.75572074   -1.5018231 
   14100    1.4900939   0.24446234   0.74698078   -1.4864808 
   14200    1.4709854   0.23438072   0.74248857   -1.4623318 
   14300    1.4790748   0.28814899   0.75464664   -1.4622987 
   14400    1.5050504   0.23581344   0.77706748   -1.4788119 
   14500    1.5063278   0.27057289    0.8097172   -1.4480769 
   14600    1.5356017   0.22438675   0.85252756   -1.4491444 
