run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.717 | 2.717 | 2.717 Mbytes
Step Temp Press TotEng PotEng 
       0          0.8  0.034194101    1.1780628 -0.021035597 
     100   0.82179682  0.035086034    1.1765377 -0.055231405 
     200    0.8768986  0.038493977    1.1512407  -0.16311894 
     300   0.88361353   0.03561307    1.0860537  -0.23837076 
     400   0.85911687  0.035947088    1.0373368  -0.25037032 
     500   0.83974224  0.030854371      0.98276    -0.275907 
     600   0.81821076   0.02954928   0.93286726  -0.29352678 
     700   0.79823771  0.030067313   0.89211459  -0.30434239 
     800   0.78549868  0.028335698   0.86274415  -0.31461864 
     900   0.77790283  0.027439645   0.84744743  -0.31853014 
    1000   0.78629007  0.028412062   0.84613641  -0.33241256 
    1100   0.80320704   0.02806361   0.85508159  -0.34882378 
    1200    0.8147931  0.029356649   0.86562521  -0.35564619 
    1300    0.8175849  0.028943791   0.86750606  -0.35794989 
    1400   0.80588756  0.028901634    0.8595071  -0.34841603 
    1500   0.79420414  0.032202992    0.8445087  -0.34590246 
    1600   0.78794135  0.028681001   0.82892829  -0.35209575 
    1700   0.79154881  0.028852421   0.81843583  -0.36799533 
    1800   0.79635461  0.027396476   0.81149122  -0.38214322 
    1900   0.80290488  0.027304586   0.80345497   -0.3999975 
    2000   0.78912683  0.028298719   0.79175018  -0.39105074 
    2100   0.78785508  0.025045411   0.77989864   -0.4009961 
    2200   0.79368568  0.024830804   0.77027496   -0.4193591 
    2300   0.78320108  0.025567533   0.76262443  -0.41129454 
    2400   0.79062896  0.024044009   0.76260797  -0.42244445 
    2500    0.7962743  0.029695574   0.77276965  -0.42074441 
    2600   0.81081724  0.028306714   0.78777011  -0.42754198 
    2700   0.80893582  0.024213779   0.80167121  -0.41082088 
    2800   0.81664626  0.026415809   0.81410364  -0.40994542 
    2900   0.81842124  0.025674789   0.81930171   -0.4074078 
    3000   0.81811939  0.032864064   0.80690505  -0.41935203 
    3100   0.79391572  0.027730253    0.7689166  -0.42106226 
    3200   0.77666259   0.02397526   0.74108427  -0.42303434 
