run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
    9300     1.028842  -0.11099841   -2.3834105    -3.925514 
    9400       1.0122  -0.10057982   -2.4072479   -3.9244072 
    9500    0.9988345 -0.091903405   -2.4406735   -3.9377996 
    9600   0.98034173 -0.00015434026   -2.4701449   -3.9395527 
    9700   0.97720374  -0.10449567   -2.4858944   -3.9505988 
    9800   0.97620856 -0.091980618   -2.4844864   -3.9476991 
    9900   0.97259996   0.15705411   -2.4627711    -3.920575 
   10000    1.0366299 -0.00065104394   -2.4200438   -3.9738205 
   10100    1.0318384  0.083432862   -2.3854388   -3.9320336 
   10200    1.0373144  0.057126544   -2.3849356   -3.9397382 
   10300    1.0283914 -0.052791229    -2.402587   -3.9440152 
   10400   0.99474879   0.12873676   -2.4190874   -3.9100895 
   10500    1.0075816   0.10616169   -2.4310465   -3.9412833 
   10600   0.99117849  0.037812826   -2.4464687   -3.9321194 
   10700   0.98616091 -0.087888644   -2.4603945   -3.9385245 
   10800   0.97968942 -0.047107349    -2.463718    -3.932148 
   10900   0.99058106 -0.078164188   -2.4545777   -3.9393329 
   11000   0.99594699  0.005631125   -2.4253551   -3.9181531 
   11100    1.0237919 -0.021796835   -2.3794107   -3.9139448 
   11200    1.0268992  0.035323226   -2.3506706   -3.8898621 
   11300    1.0236957   0.10306334   -2.3563062   -3.8906961 
   11400    1.0141291  0.079057437   -2.3816939   -3.9017447 
   11500   0.99827455   0.12886242   -2.4083307   -3.9046175 
   11600    1.0005914  0.043288939   -2.4255265   -3.9252861 
   11700    1.0024891  0.015843784   -2.4375558   -3.9401596 
   11800    1.0063554 -0.029226303   -2.4472341   -3.9556331 
   11900    1.0229642  -0.16662848   -2.4580978   -3.9913912 
   12000    1.0245154  -0.15302547   -2.4630583   -3.9986768 
   12100   0.99012481 -0.029136381   -2.4630992   -3.9471706 
   12200   0.98421013   0.06465653   -2.4553989   -3.9306049 
   12300    1.0132937    0.0478689   -2.4295211   -3.9483198 
   12400    1.0166578  0.039287903   -2.4037733   -3.9276142 
   12500    1.0116118  0.027982643   -2.3924619   -3.9087396 
   12600      1.02027  -0.10858607   -2.3937212   -3.9229764 
   12700     1.006062  0.034063183   -2.4140616   -3.9220208 
   12800   0.98064324  0.016447645   -2.4508951   -3.9207548 
   12900   0.95885606  0.032571877   -2.4805495    -3.917753 
   13000   0.95662962  -0.15952139    -2.490024   -3.9238904 
   13100   0.98428021  -0.18714376   -2.4720678   -3.9473788 
   13200   0.99486132   -0.1439676   -2.4307336   -3.9219044 
   13300    0.9999661 -0.021870842   -2.4009162   -3.8997384 
   13400    1.0010127  0.096073387   -2.3945182   -3.8949091 
   13500    1.0012061  0.047849607   -2.3941938   -3.8948747 
   13600    1.0153527 -0.050485757     -2.39966   -3.9215448 
   13700    0.9992878 -0.061883444   -2.4182441   -3.9160496 
   13800   0.99794323 -0.062434466   -2.4453217   -3.9411119 
   13900    1.0021539  -0.23802062   -2.4635843   -3.9656857 
   14000    1.0058363  -0.26593897   -2.4691626   -3.9767835 
   14100   0.95511252  0.023042045   -2.4649745   -3.8965669 
   14200   0.98896899  0.073076665    -2.426436    -3.908775 
   14300    1.0095009   0.16595963   -2.3771507   -3.8902643 
   14400    1.0565368  0.047459518   -2.3631489   -3.9467634 
   14500    1.0352768   0.02339148   -2.3837217   -3.9354702 
   14600    1.0032021 -0.0024510045   -2.4165398   -3.9202124 
   14700      1.00047   0.02826914   -2.4427406   -3.9423181 
   14800   0.97831364 -0.052564849   -2.4560252   -3.9223932 
   14900   0.98619558 -0.099985036   -2.4561602   -3.9343421 
   15000   0.99818663   -0.1062933   -2.4510252   -3.9471802 
   15100   0.97235904  0.080970039   -2.4452533   -3.9026961 
   15200    1.0180478 -0.037548773    -2.428414   -3.9543383 
   15300    1.0308746  -0.15340063    -2.406112   -3.9512622 
   15400    1.0180368   0.16601209   -2.3793503   -3.9052581 
   15500    1.0368081   0.11855335     -2.35693   -3.9109736 
   15600    1.0426063   0.06297423   -2.3621806   -3.9249151 
   15700    1.0218894 -0.048264086   -2.4017506    -3.933433 
   15800   0.97761843 -0.042251383   -2.4421561    -3.907482 
   15900   0.97941193 -0.076805189   -2.4572978    -3.925312 
   16000   0.97461902  -0.10789505   -2.4557895   -3.9166196 
   16100   0.99079916  -0.10044669   -2.4380954   -3.9231775 
   16200    1.0016141  0.038150286   -2.4092576     -3.91055 
   16300    1.0127309   0.10421992    -2.388736    -3.906691 
   16400    1.0374621 -0.082806707   -2.3861325   -3.9411564 
