run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 16 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.755 | 2.755 | 2.755 Mbytes
Step Temp Press TotEng PotEng 
       0          2.5   0.19971698    3.6714978 -0.075684814 
     100    2.6421358   0.24325677    3.6582662  -0.30195991 
     200    2.6264937   0.23428327    3.5376996  -0.39908106 
     300    2.5731756   0.20890638    3.4016276  -0.45523596 
     400    2.5538355   0.20623922    3.3293349  -0.49854026 
     500    2.4919607   0.21043063      3.26583  -0.46930267 
     600    2.4641444   0.20430762     3.221342  -0.47209748 
     700    2.4781973   0.20371908    3.2033864  -0.51111673 
     800    2.4575599   0.19715558    3.2154779  -0.46809242 
     900    2.5070194   0.21298719    3.2651059  -0.49259784 
    1000    2.5466834    0.2111097    3.3276737  -0.48948136 
    1100    2.5618798   0.22443227    3.3701838  -0.46974872 
    1200    2.5689229   0.20823497    3.3640058  -0.48648353 
    1300    2.5307349   0.21085984    3.2937451  -0.49950527 
    1400    2.4420441   0.20590888    3.1729119   -0.4874021 
    1500    2.4010076   0.19857114    3.1130589  -0.48574667 
    1600    2.4141293   0.19850989    3.1334447  -0.48502853 
    1700     2.456784   0.20408147    3.1961617  -0.48624551 
    1800    2.4873762   0.21456283    3.2544994  -0.47376172 
    1900    2.5174999   0.20342026    3.2888041  -0.48460853 
    2000    2.5221473   0.21413436    3.3010853  -0.47929334 
    2100    2.5167255   0.22166151    3.2960107   -0.4762413 
    2200    2.5073065   0.20698075    3.2734239  -0.48471013 
    2300    2.4850672   0.20777099    3.2380224  -0.48677777 
    2400    2.4494402   0.20444188    3.1879522  -0.48344761 
