run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 10 10 10
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.732 | 2.732 | 2.732 Mbytes
Step Temp Press TotEng PotEng 
       0          1.5  -0.79365689   0.20751318   -2.0407964 
     100    1.5994511   0.41532982   0.20773616    -2.189638 
     200    1.5602489   0.44041496   0.14539215   -2.1932229 
     300    1.5482131   0.30504285  0.063158733   -2.2574162 
     400    1.5113541   0.33876875  0.027644382   -2.2376835 
     500    1.4717992   0.33551633  0.002280812   -2.2037593 
     600    1.4919247   0.35637361 -0.012140613   -2.2483462 
     700    1.4939438   0.31668631 -0.017687072   -2.2569192 
     800    1.5155757   0.29737771 -0.015146045   -2.2868016 
     900    1.5050981   0.28709312  -0.01518116   -2.2711321 
    1000    1.4688975   0.31753784 -0.011925772   -2.2136167 
    1100    1.5101245   0.34614938  0.010446274   -2.2530385 
    1200    1.5492944   0.31573775  0.049379509    -2.272816 
    1300    1.5512924   0.36625574  0.074844706   -2.2503456 
    1400    1.5365012   0.32902655  0.064202566   -2.2388177 
    1500    1.5052265   0.32468419  0.013822246   -2.2423212 
    1600    1.4628145   0.32293344 -0.045425133   -2.2379983 
    1700    1.4613212   0.25512222 -0.071029053   -2.2613641 
    1800    1.4648967   0.29408864 -0.061817181   -2.2575113 
    1900      1.49958   0.37018059 -0.031680381   -2.2793605 
    2000    1.5200404   0.41697736 -0.0056423911   -2.2839899 
    2100    1.5065907    0.3560727 0.0035085222   -2.2546796 
    2200    1.5004929   0.31919067 0.0034285371   -2.2456198 
    2300    1.5149169    0.2875998 0.0060304798   -2.2646377 
    2400    1.5179907   0.34656176  0.012392948   -2.2628823 
    2500    1.5243327   0.38871528 0.0048973191   -2.2798839 
    2600    1.5217264   0.36985938 -0.025099778   -2.3059744 
    2700    1.4799862   0.30161076 -0.059787286   -2.2780987 
    2800    1.4740952   0.23381421 -0.074410366   -2.2838919 
    2900    1.4645955   0.36338929 -0.058413555   -2.2536563 
    3000    1.4915624   0.36886208 -0.017960708   -2.2536234 
    3100    1.4956886   0.43432768  0.025817465   -2.2160298 
    3200    1.5280668   0.34822437  0.054684453   -2.2356937 
    3300    1.5274275   0.37379448  0.060388355   -2.2290315 
    3400    1.5212562    0.4235539  0.033102819   -2.2470671 
    3500    1.4974242   0.35512703 -0.035924985   -2.2803738 
    3600    1.4651496   0.26276838  -0.08903252   -2.2851057 
    3700    1.4395546   0.33659782 -0.096130879   -2.2538404 
