run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0          0.9    4.8300967   -2.8483539   -4.1973397 
     100     1.168242  0.078695429   -2.8410486    -4.592095 
     200    1.0499073   0.18716092   -2.9364442    -4.510122 
     300   0.99290251   0.30487364   -3.0195879   -4.5078227 
     400   0.96479694  0.019870626   -3.0998511   -4.5459592 
     500    0.9070177   0.11662276   -3.1686284   -4.5281327 
     600   0.91759334  -0.12747457   -3.2182682   -4.5936241 
     700   0.86652272 0.0070987268   -3.2552922   -4.5540997 
     800    0.8923677 -0.087752127   -3.2729495   -4.6104953 
     900   0.86663347  0.004233414   -3.2727226   -4.5716961 
    1000   0.89172963  -0.11931681   -3.2579366   -4.5945261 
    1100   0.89113428 -0.012010943   -3.2323606   -4.5680577 
    1200   0.90641112  0.040195848   -3.2019776   -4.5605728 
    1300   0.90272416  0.089572693   -3.1749946   -4.5280635 
    1400   0.93440499 -0.029999015   -3.1529904   -4.5535449 
    1500   0.92724079   0.17095085   -3.1425713   -4.5323875 
    1600   0.91668881   0.06601035   -3.1525828    -4.526583 
    1700   0.90004312  0.080907388   -3.1812868   -4.5303372 
    1800    0.8981954 -0.012506564   -3.2114671    -4.557748 
    1900   0.90162907  -0.19472082   -3.2373744   -4.5888019 
    2000   0.89474023  -0.24661526   -3.2548217   -4.5959237 
    2100   0.85999579  0.025627744   -3.2594401   -4.5484646 
    2200    0.8932787 -0.030489312    -3.243225   -4.5821363 
    2300   0.88271066   0.18671953   -3.2099532   -4.5330244 
    2400   0.91842646  0.043399835   -3.1816773   -4.5582819 
    2500   0.92345529  0.097841093   -3.1738959   -4.5580381 
    2600   0.93023644 -0.023409015   -3.1794521   -4.5737584 
    2700   0.90912143  0.059921587   -3.1974501   -4.5601077 
    2800   0.88912253   0.10611405     -3.21598   -4.5486618 
    2900   0.89838078 -0.057883314   -3.2264286   -4.5729873 
    3000   0.90483444 -0.047620947   -3.2331105   -4.5893425 
    3100   0.89192214  0.025936248   -3.2332147   -4.5700927 
    3200   0.89645198  0.022956276   -3.2328853    -4.576553 
    3300   0.88921403 0.0035655732   -3.2297603   -4.5625793 
    3400   0.90151211  0.017778432   -3.2227293   -4.5739815 
    3500    0.9012302  0.022493215    -3.214609   -4.5654387 
    3600   0.88789264    0.1241383    -3.206307   -4.5371454 
    3700   0.90510759   0.10811241   -3.1923428   -4.5489841 
    3800   0.90114088     0.136235   -3.1738271   -4.5245229 
    3900    0.9302187  0.035250722   -3.1532055   -4.5474852 
    4000   0.89310983   0.35880481   -3.1373884   -4.4760467 
    4100   0.93630762    0.1080892   -3.1402324   -4.5436387 
    4200   0.92195539 -0.047216564   -3.1805641   -4.5624581 
    4300    0.8828103  0.017586491   -3.2257089   -4.5489294 
    4400   0.89504287 -0.079908508   -3.2446325   -4.5861882 
    4500   0.87079966  0.041095573   -3.2478205   -4.5530386 
    4600   0.88869954 -0.083315069   -3.2405376   -4.5725854 
    4700   0.92881986  -0.17924933   -3.2258369   -4.6180199 
    4800     0.902803  -0.03302213   -3.2073507   -4.5605377 
    4900   0.90928403 0.0066266685   -3.1862906   -4.5491919 
    5000   0.91004015   0.12325032   -3.1645258   -4.5285605 
    5100   0.89580818   0.25948574   -3.1408636   -4.4835663 
    5200   0.92965701   0.14301229   -3.1224404   -4.5158782 
    5300   0.95968501 -0.0033329852   -3.1235069   -4.5619529 
    5400   0.90668853   0.21058692    -3.159142    -4.518153 
