run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.711 | 2.711 | 2.711 Mbytes
Step Temp Press TotEng PotEng 
       0          1.2  0.058383053    1.7724355 -0.026212164 
     100    1.2364457   0.05828397    1.7701473 -0.083127757 
     200    1.3013653  0.071051132    1.7297257  -0.22085563 
     300    1.2724168  0.061922722     1.640044  -0.26714721 
     400    1.2472175  0.054566928     1.587965  -0.28145571 
     500    1.2276978  0.056689356    1.5345441  -0.30561912 
     600    1.1968535  0.056413245    1.4821659  -0.31176544 
     700    1.1858276  0.051768176     1.443254  -0.33415097 
     800    1.1779651  0.049702744    1.4220705  -0.34354956 
     900    1.1756661  0.059212675    1.4175693  -0.34460497 
    1000    1.1746031  0.052402445    1.4271144  -0.33346644 
    1100    1.2038427  0.054076328    1.4542967  -0.35011062 
    1200    1.2217038  0.057531332    1.4837628  -0.34741603 
    1300    1.2409351  0.056267528    1.4952822  -0.36472193 
    1400    1.2348648  0.051102783    1.4754031  -0.37550245 
    1500    1.2007183  0.048537836    1.4287907  -0.37093366 
    1600    1.1758149  0.051042018    1.3889844  -0.37341287 
    1700    1.1675645  0.050969356     1.377548   -0.3724829 
    1800    1.1860885  0.048084351     1.388403  -0.38939302 
    1900    1.1833152  0.055941014    1.4075001  -0.36613911 
    2000    1.2060263  0.053186326    1.4256699  -0.38201046 
    2100     1.213624  0.054582725    1.4333469  -0.38572144 
    2200    1.2125102  0.052149678    1.4298466  -0.38755215 
    2300    1.2019889  0.049871645    1.4228869  -0.37874177 
    2400    1.2065771  0.056855297    1.4158786  -0.39262725 
    2500      1.19423  0.052918376    1.4072918   -0.3827073 
    2600     1.186031  0.052920912    1.4033149  -0.37439494 
    2700    1.1957804  0.057047279    1.4048744  -0.38744856 
    2800    1.1969727  0.055251684    1.4074663  -0.38664372 
    2900      1.20212  0.052878826    1.4181122  -0.38371311 
    3000    1.2221751  0.053160904    1.4475703  -0.38431489 
    3100     1.237441  0.053719426     1.471922  -0.38284497 
    3200    1.2435153  0.054010102    1.4694143  -0.39445725 
    3300    1.2178002  0.057350459    1.4344535  -0.39087434 
    3400    1.1981744  0.052911124    1.3868341   -0.4090772 
    3500    1.1653448  0.053212472    1.3563369  -0.39036702 
    3600    1.1705484  0.050334936    1.3501931   -0.4043103 
    3700    1.1820872  0.048408083     1.367766  -0.40403258 
    3800    1.2244448  0.052673971    1.4022247  -0.43306254 
    3900    1.2276637  0.051660904    1.4269693  -0.41314268 
    4000    1.2376688  0.051766255    1.4310017  -0.42410675 
