run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.735 | 2.735 | 2.735 Mbytes
Step Temp Press TotEng PotEng 
       0            2 -8.5924327e-05     1.997072   -1.0006741 
    9900     1.978488   0.50026447    1.4827122   -1.4827901 
   10000    1.9751869   0.46458814     1.449541   -1.5110134 
   10100    1.9693544   0.43971806    1.4348276   -1.5169846 
   10200    1.9744374   0.46584245    1.4469336   -1.5124973 
   10300    2.0116649   0.47993495    1.5087951   -1.5064352 
   10400    2.1059522   0.52963964    1.6532267   -1.5033282 
   10500    2.1353697   0.50961595    1.6942491    -1.506399 
   10600    2.0918053   0.52857951    1.6400945    -1.495256 
   10700    2.0382328   0.50141144    1.5495584   -1.5054938 
   10800    1.9766888   0.48425048     1.483682   -1.4791236 
   10900    1.9794685   0.43754049    1.4490547   -1.5179172 
   11000    1.9780682   0.43565219    1.4355191   -1.5293539 
   11100    1.9862772   0.43951072    1.4456456   -1.5315316 
   11200     2.010454   0.53056212    1.4753484   -1.5380669 
   11300    2.0153467   0.50119612    1.5072307   -1.5135181 
   11400    2.0470782    0.4606874    1.5360703   -1.5322399 
   11500    2.0550606   0.50771432     1.551333   -1.5289419 
   11600    2.0161772   0.50833151     1.522204   -1.4997896 
   11700    1.9620026   0.48027831    1.4456802   -1.4951126 
   11800    1.9324626   0.47807414    1.3838568   -1.5126593 
   11900    1.9283947   0.46205301    1.3725456   -1.5178732 
   12000    1.9554598   0.48277486    1.4087836   -1.5222023 
   12100    2.0098227   0.45312469    1.4783556   -1.5341134 
   12200    2.0514334   0.48014611     1.534963   -1.5398751 
   12300     2.043961   0.45113212    1.5464335   -1.5172045 
   12400    2.0366838   0.50562071    1.5256298   -1.5271006 
   12500    2.0049303   0.47589415    1.4964286   -1.5087074 
   12600    2.0133277   0.41224841    1.4752696    -1.542453 
   12700    1.9813966   0.47256373    1.4623861   -1.5074757 
   12800    1.9821759   0.46318936    1.4619735   -1.5090564 
   12900    2.0077764   0.44932723    1.4714819   -1.5379199 
   13000    1.9816134   0.47278071    1.4846203   -1.4855666 
   13100      1.98756   0.49269921    1.5204485   -1.4586515 
   13200    2.0766481   0.47447396    1.6003794   -1.5122525 
   13300    2.1171456   0.47688255    1.6615386   -1.5117937 
   13400      2.09624   0.54025755    1.6428994   -1.4990982 
   13500    2.0386091   0.52480534    1.5451889   -1.5104274 
   13600    1.9784749   0.45677405    1.4687881   -1.4966945 
   13700    1.9581793   0.49224679    1.4475581    -1.487504 
   13800    1.9862851   0.45367764    1.4552421    -1.521947 
   13900    1.9948507    0.4341788    1.4714985   -1.5185295 
   14000     2.023826   0.47581011    1.4951622    -1.538296 
   14100    2.0227418   0.45630046    1.5181604   -1.5136727 
   14200    2.0122833   0.49139181    1.5306647   -1.4854925 
   14300    2.0330514   0.42591438    1.5299439   -1.5173421 
   14400    2.0268322   0.42520865    1.5108794   -1.5270847 
   14500    2.0027778    0.4189969    1.4684256   -1.5334841 
   14600    1.9598841   0.44680656     1.419253   -1.5183643 
   14700    1.9344094    0.4475475    1.3909496   -1.5084845 
   14800    1.9527489   0.40423597    1.4041821   -1.5227406 
   14900     1.989293   0.42508019    1.4720659   -1.5096317 
   15000    2.0252706   0.46966657    1.5576781   -1.4779454 
   15100     2.069172   0.46624972    1.5972795   -1.5041466 
   15200     2.080045   0.44460107    1.5871894   -1.5305339 
   15300    2.0391658   0.52849585    1.5444466   -1.5120041 
   15400    2.0161271   0.46036479    1.4943438   -1.5275747 
   15500    1.9780303   0.46578743    1.4578372    -1.506979 
   15600    1.9754774   0.42727677    1.4440363   -1.5169535 
   15700     1.975339   0.50477489    1.4502012   -1.5105811 
   15800    2.0270747   0.39766376    1.4658568   -1.5724709 
   15900    1.9927281   0.50123196    1.4816789   -1.5051675 
   16000    2.0426623   0.44113235    1.4969748   -1.5647166 
   16100    2.0285641   0.45756357    1.5044121   -1.5361479 
   16200    2.0200078    0.4358885    1.5027365   -1.5249987 
   16300    1.9934713   0.46185864    1.4902725   -1.4976878 
   16400    1.9960837   0.44755014     1.474578   -1.5172981 
   16500    1.9850372   0.47270794    1.4673482   -1.5079705 
   16600    1.9889267   0.44455218    1.4606481   -1.5205005 
   16700    1.9828849   0.39356016    1.4641363   -1.5079564 
   16800    1.9831147   0.46618743    1.4897513   -1.4826858 
   16900    2.0379146   0.49501457    1.5304238   -1.5241514 
   17000    2.0541777   0.49791938    1.5611512   -1.5178004 
   17100    2.0331085   0.53854034    1.5662159   -1.4811556 
   17200    2.0356807   0.46610023    1.5326829   -1.5185441 
   17300    1.9934174   0.43918635    1.4480401   -1.5398395 
   17400    1.9424591   0.44990863    1.3786345    -1.532865 
   17500    1.9377837   0.40335347    1.3634242   -1.5410675 
   17600    1.9394658   0.42301948    1.3979729   -1.5090401 
   17700    1.9842605   0.46337542    1.4653362   -1.5088184 
   17800    2.0352529   0.47789148    1.5085173   -1.5420684 
   17900    2.0193743   0.46929807    1.5131174   -1.5136683 
   18000    2.0251367    0.4972459    1.4967378    -1.538685 
   18100    1.9804397   0.44657142    1.4692698   -1.4991579 
   18200     1.984483   0.41153807    1.4494442   -1.5250439 
   18300    1.9832164   0.43930931    1.4510967   -1.5214929 
   18400    2.0104356   0.45347926    1.4723996   -1.5409881 
   18500    2.0368861   0.48084873    1.5239912   -1.5290423 
   18600    2.0786726   0.47278742    1.5881444   -1.5275219 
   18700     2.086549    0.4736746    1.6135064   -1.5139656 
   18800    2.0604324   0.43551323    1.5730539   -1.5152726 
   18900    1.9939626   0.48929066    1.4801534   -1.5085434 
   19000    1.9819487   0.45100786    1.4106218   -1.5600677 
   19100    1.9545938   0.41991575    1.3919784   -1.5377096 
   19200    1.9622458   0.41183734    1.4104921   -1.5306652 
   19300    2.0019814   0.46843477    1.4540636   -1.5466523 
   19400     2.015275   0.50154859    1.4972309   -1.5234105 
   19500    2.0130328   0.49029862     1.519966   -1.4973145 
   19600    2.0143647   0.47613209    1.5262984   -1.4929786 
   19700    2.0261777    0.4624327    1.5196807   -1.5173024 
   19800    1.9968263   0.46959425    1.4821625   -1.5108266 
   19900    1.9404481   0.43922717    1.3935317   -1.5149537 
   20000    1.9048409   0.44537159    1.3315147   -1.5235999 
   20100    1.9294981   0.43068831    1.3334738   -1.5585989 
   20200    1.9521944    0.4611583    1.3882571   -1.5378344 
   20300    1.9820909   0.47942015    1.4695612   -1.5013413 
   20400     2.014206   0.48642047     1.521815    -1.497224 
   20500    2.0427358   0.45146534    1.5368232   -1.5249784 
   20600    2.0219954   0.46650916    1.5238272   -1.5068871 
   20700    2.0167906   0.40158608    1.4982848   -1.5246282 
   20800    1.9761741   0.43668762    1.4681441   -1.4938899 
   20900    1.9698096   0.50618099     1.434038   -1.5184564 
   21000    1.9390901   0.48375522     1.377968   -1.5284819 
   21100    1.9110719   0.43943112    1.3105859   -1.5538682 
   21200    1.8912189   0.35974446    1.2850643   -1.5496328 
   21300    1.9433867   0.34985721    1.3491321   -1.5637577 
   21400    1.9927655   0.47915502    1.4586861   -1.5282164 
   21500    2.0325052   0.46347014     1.506821   -1.5396462 
   21600     2.013374    0.4704119    1.5174846   -1.5003074 
   21700     2.025172   0.45082147    1.5166793   -1.5187965 
   21800    2.0336612   0.50038769    1.4995076   -1.5486923 
   21900    1.9988465   0.42904523    1.4543421    -1.541675 
   22000    1.9375329   0.45512232    1.4084134   -1.4957025 
   22100     1.938395   0.41484896    1.3940118   -1.5113962 
   22200    1.9497634   0.48663389    1.4242337    -1.498214 
   22300    2.0345097   0.46925729    1.5170202   -1.5324516 
   22400    2.0705145   0.48884566    1.5958254   -1.5076129 
   22500    2.0766918   0.47269149    1.6062971   -1.5064002 
   22600    2.0722048   0.44437081    1.5648947   -1.5410772 
   22700     2.042436   0.48029946    1.5009295   -1.5604227 
   22800    1.9903835   0.42767215    1.4562684   -1.5270637 
   22900    1.9522066   0.47445471    1.4457669    -1.480343 
   23000    1.9772236   0.45141661    1.4659906   -1.4976165 
   23100    1.9995684    0.5050726    1.5016163   -1.4954828 
   23200     2.036655   0.47585994    1.5282996   -1.5243877 
   23300    2.0467674   0.46492482    1.5308502   -1.5369943 
   23400    2.0327223   0.44733484    1.4966747   -1.5501178 
   23500    1.9533166   0.43523716    1.3961907   -1.5315829 
   23600    1.8936169   0.42716781    1.3147007   -1.5235906 
   23700    1.9063481   0.43149651    1.3197794   -1.5375944 
   23800    1.9635133   0.41687721    1.3728839   -1.5701732 
   23900    1.9850442   0.44641308    1.4313743   -1.5439549 
   24000    1.9910216   0.45111841    1.4737918   -1.5104967 
   24100    2.0096938   0.41680153    1.5029634   -1.5093124 
   24200    2.0215117   0.48565757    1.5220225   -1.5079669 
   24300    2.0100972   0.53816886    1.5224615    -1.490419 
   24400    2.0121749   0.43073873    1.5021778   -1.5138169 
   24500    1.9972156   0.45453611    1.4564023   -1.5371703 
   24600    1.9269143   0.46130213    1.3800548    -1.508145 
   24700       1.9012   0.43236314    1.3213146   -1.5283427 
   24800    1.8996012   0.41959166    1.3266946   -1.5205664 
   24900    1.9491056   0.47781021     1.417164   -1.5042978 
   25000    2.0244887   0.41551957    1.5132966    -1.521155 
   25100    2.0449279   0.46538595     1.539578   -1.5255093 
   25200    2.0317969   0.51819098    1.5306653   -1.5147403 
   25300    2.0296689   0.46079758    1.4945988   -1.5476172 
   25400    1.9764811   0.42430449    1.4420984   -1.5203957 
   25500    1.9586375   0.38995088    1.4057545   -1.5299944 
   25600    1.9861799   0.41616077    1.4059293   -1.5711022 
   25700    1.9681399    0.4659657    1.4405952   -1.5093967 
   25800    2.0256639    0.4471456    1.5088216   -1.5273913 
   25900    2.0550283   0.48392009    1.5850537   -1.4951727 
   26000    2.0932646   0.48674064    1.6208298    -1.516708 
   26100    2.0943658   0.46601605    1.5915187   -1.5476698 
   26200     1.993614   0.49392105    1.4974065   -1.4907679 
   26300    1.9553584    0.4565937    1.4307596   -1.5000743 
   26400    1.9800014   0.42984266    1.4263572   -1.5414135 
   26500    1.9911507   0.45891228    1.4413432   -1.5431389 
   26600    2.0126414   0.45463686    1.4664268   -1.5502671 
   26700    1.9998534   0.47455881    1.4911261   -1.5064002 
   26800    2.0116637   0.51158615    1.5111946   -1.5040339 
   26900    2.0239193   0.44687927    1.5223784   -1.5112197 
   27000    2.0370305   0.48226223    1.5164977   -1.5367523 
   27100     1.998828   0.49824435    1.4718482   -1.5241412 
   27200    1.9522841   0.47007505    1.3950576   -1.5311683 
   27300    1.8922281   0.43487109    1.3431744   -1.4930352 
   27400    1.9112847   0.43927777    1.3528607   -1.5119124 
   27500    1.9887488   0.42380292    1.4215699   -1.5593119 
   27600    2.0196489   0.46891307    1.4904982   -1.5366992 
   27700    2.0306848   0.46446136     1.513271   -1.5304676 
   27800    2.0306149   0.44920347      1.50985   -1.5337838 
   27900    2.0057223   0.41385781    1.4978298   -1.5084932 
   28000     1.985248   0.48986836    1.4866726    -1.488962 
   28100    1.9902944   0.46876193    1.4767711   -1.5064275 
   28200    2.0002264    0.4368852    1.4683993   -1.5296861 
   28300    1.9734019    0.4529773    1.4550254   -1.5028535 
   28400    1.9788204   0.37595489    1.4452336    -1.520767 
   28500     1.970584    0.4684112    1.4568895   -1.4967657 
   28600    2.0002233   0.47070201    1.5025347   -1.4955461 
   28700    2.0581647   0.44058391    1.5626726   -1.5222549 
   28800     2.065059   0.44659698    1.5953568   -1.4999045 
   28900    2.0517139   0.53452325    1.5885335   -1.4867252 
   29000    2.0398893   0.44334727    1.5246539   -1.5328811 
   29100    1.9708347   0.44945573    1.4422904   -1.5117405 
   29200    1.9657814   0.50524482    1.3996764   -1.5467804 
   29300    1.9603837   0.40570861    1.3935901   -1.5447761 
   29400    1.9641218   0.43390446    1.4158158   -1.5281534 
   29500    1.9916343    0.4624653    1.4484282   -1.5367787 
   29600     2.022581   0.43618557    1.4769897   -1.5546024 
   29700    2.0086285   0.44902661    1.4938449   -1.5168343 
   29800    2.0026539   0.45568047    1.5052711   -1.4964528 
   29900    2.0086343   0.49188004    1.5097066   -1.5009812 
   30000    2.0104882   0.47048411     1.498086   -1.5153805 
   30100    1.9619101   0.49171021    1.4859196   -1.4547345 
   30200     1.980941    0.4657578     1.487099     -1.48208 
   30300    1.9814419   0.46027271    1.4943284   -1.4756015 
   30400    2.0096011    0.4875569    1.5047691   -1.5073678 
   30500    1.9879462   0.51842171    1.5076767   -1.4720022 
   30600    2.0048575   0.46291877    1.4999957   -1.5050312 
   30700    1.9954372   0.49141275    1.4839841   -1.5069229 
   30800    1.9633729   0.50547809    1.4525939   -1.4902527 
   30900    1.9579137   0.44137617    1.4074252   -1.5272388 
   31000     1.931141   0.44822361    1.3649443   -1.5295908 
   31100    1.9411168   0.37090573    1.3616706    -1.547817 
   31200    1.9983227   0.37111896    1.4234506   -1.5717813 
   31300     2.008444   0.48582372    1.5195348   -1.4908677 
   31400    2.0465525   0.46310611    1.5696716   -1.4978507 
   31500    2.0727164   0.50262302    1.5680392   -1.5386995 
   31600    2.0552395   0.44039789    1.5224301    -1.558113 
   31700    1.9947696    0.4961646    1.4592727   -1.5306337 
   31800    1.9572958   0.45020745     1.417894    -1.515844 
   31900    1.9371822   0.46771585    1.4088874   -1.4947027 
   32000    2.0106164   0.36575935    1.4303397    -1.583319 
   32100    2.0108331   0.46983081    1.4631406   -1.5508429 
   32200    2.0119077   0.42585637    1.4867747   -1.5288195 
   32300    2.0077862   0.46982467    1.4985725   -1.5108441 
   32400    2.0059939   0.50069452    1.5040411   -1.5026891 
   32500    2.0295894   0.44724962    1.5023828    -1.539714 
   32600    2.0051759   0.45238939    1.4931831   -1.5123209 
   32700    1.9934312   0.46804089    1.4892584   -1.4986417 
   32800    2.0132251   0.44426688    1.4877684   -1.5298004 
   32900    2.0035699   0.42794863    1.4877951   -1.5153018 
   33000    1.9878724   0.50839631    1.4902042   -1.4893641 
   33100    1.9891979      0.49437    1.4947545   -1.4868006 
   33200    1.9758212   0.49619487    1.5067065   -1.4547987 
   33300    2.0119766   0.46902525    1.5418317   -1.4738659 
   33400     2.030939   0.52366274    1.5938107    -1.450309 
