run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 9 9 9
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.73 | 2.73 | 2.73 Mbytes
Step Temp Press TotEng PotEng 
       0          4.5 -0.046259083    3.0237551   -3.7211735 
     100     3.775547    3.6723684    3.2216693   -2.4373964 
     200    3.9774738    3.5150099    3.5077878   -2.4539404 
     300    4.0613799    4.0679131    3.8235383   -2.2639546 
     400    4.2634278    4.1962988    4.1521569   -2.2381799 
     500    4.4793324    4.2392201    4.4424519   -2.2714987 
     600    4.5739962    4.7010544    4.6627893   -2.1930502 
     700    4.7032084    4.4289136    4.8024099   -2.2471022 
     800    4.6811411    4.5783949    4.8107818   -2.2056543 
     900    4.5653391    4.6583057    4.6853044   -2.1575593 
    1000     4.450665    4.5883842    4.4880398    -2.182942 
    1100    4.4220599    4.1801809    4.3375663     -2.29054 
    1200    4.4247104    4.0881108    4.2841127   -2.3479663 
    1300    4.4226305     4.211449    4.3334082   -2.2955533 
    1400    4.5099864    4.1377621    4.4657987   -2.2940982 
    1500    4.5219239    4.5561636    4.6127377   -2.1650521 
    1600      4.55183    4.8180268    4.7157168   -2.1068983 
    1700    4.6056617    4.6020497    4.7406942   -2.1626079 
    1800    4.6008219    4.4769352    4.6704763   -2.2255715 
    1900    4.5528776    4.2614875    4.5393738   -2.2848116 
    2000    4.4995544    4.0823355    4.4121194   -2.3321413 
    2100    4.3541823    4.4430289    4.3398063   -2.1865601 
    2200    4.4046003    4.2938763    4.3383868   -2.2635498 
    2300    4.4626121    4.2984512     4.431506    -2.257383 
    2400    4.5808557    4.3656805    4.6095613   -2.2565599 
    2500    4.6225506    4.6283827    4.7656925   -2.1629239 
    2600    4.6603762    4.5927545    4.7979086   -2.1874036 
    2700    4.6606753    4.4173903    4.7260643   -2.2596962 
    2800    4.4946339      4.72625      4.61613   -2.1207555 
    2900    4.5405379    4.3085002    4.5547342   -2.2509556 
    3000    4.5940602    4.0685085    4.5209317   -2.3649813 
    3100    4.4127577    4.5729395    4.4864969   -2.1276666 
    3200    4.4988296    4.2573782    4.4852704    -2.257904 
    3300    4.4868171    4.4515345    4.5008929   -2.2242763 
    3400     4.475958    4.5042848    4.5268008   -2.1820919 
    3500     4.534788    4.5102493    4.5878573   -2.2092141 
    3600     4.604849    4.5341712    4.6848985   -2.2171855 
    3700    4.5809452    4.8006773    4.7771146   -2.0891407 
