run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0            1   0.13348159   -3.0038787   -4.5027518 
     100   0.88836741  -0.14079513   -2.9469779   -4.2785279 
     200   0.86244145  -0.29890885   -2.8881896   -4.1808799 
     300   0.90042071  -0.52606864   -2.8119106   -4.1615269 
     400   0.91865696  -0.25363204   -2.7321401   -4.1090902 
     500   0.94353307 -0.066946434   -2.6538836   -4.0681199 
     600   0.96671037  0.047323134   -2.5820875   -4.0310636 
     700   0.99984287   0.06521101   -2.5234524   -4.0220899 
     800    1.0182505   0.13551638    -2.481371   -4.0075992 
     900    1.0485239  0.069588988   -2.4598971   -4.0315013 
    1000     1.027139    0.1783753   -2.4686951   -4.0082461 
    1100    1.0319445 -0.043808057   -2.5001717   -4.0469255 
    1200   0.97864279 -0.049078926   -2.5407308   -4.0075921 
    1300   0.97576182 -0.081958159   -2.5679836   -4.0305267 
    1400    0.9742798 -0.035962686   -2.5772661   -4.0375878 
    1500   0.99543096  -0.10398097   -2.5705943   -4.0626189 
    1600    1.0020315 -0.041340252    -2.550073   -4.0519911 
    1700   0.99394377 0.0041397267    -2.521366   -4.0111615 
    1800    1.0232853  0.075230515   -2.4927864   -4.0265612 
    1900    1.0225275   0.12487279    -2.476045   -4.0086838 
    2000     1.031435 -0.051498962   -2.4716249    -4.017615 
    2100    1.0131178   0.11953602   -2.4841332   -4.0026682 
    2200   0.99843861  0.091446738   -2.5133872   -4.0099199 
    2300   0.98671689 -0.022917424   -2.5473952   -4.0263586 
    2400   0.97053582  -0.10289054   -2.5674341    -4.022144 
    2500   0.97425093  -0.11830315   -2.5636368   -4.0239152 
    2600    1.0194485  -0.13109918   -2.5393903   -4.0674141 
    2700    1.0389722 -0.045131343   -2.5084334   -4.0657209 
    2800   0.99399995   0.20837737   -2.4878411   -3.9777208 
    2900    1.0134009   0.13351117    -2.485375   -4.0043342 
    3000   0.99683785   0.13037991   -2.5033022   -3.9974356 
    3100    0.9908736  -0.10313307   -2.5548678   -4.0400615 
    3200   0.96536693  -0.14770679   -2.6091899   -4.0561523 
    3300   0.96136641  -0.10350979   -2.6130393   -4.0540054 
    3400   0.96449011  0.051630032   -2.5959419   -4.0415902 
    3500   0.99226722 -0.044700341   -2.5670089   -4.0542915 
    3600    1.0109115 -0.046445077    -2.538603    -4.053831 
    3700    1.0209001 -0.091463447   -2.5178361   -4.0480358 
    3800    1.0187461 -0.039769053    -2.508186   -4.0351571 
    3900    1.0042522 -0.056009695   -2.5077047   -4.0129513 
    4000   0.98895754   0.17311603   -2.5095839   -3.9919057 
    4100    1.0121423  0.024717573   -2.5101152    -4.027188 
    4200    1.0131998  0.037221591   -2.5244294   -4.0430872 
    4300   0.98930698 -0.0029562277   -2.5600652   -4.0429108 
    4400   0.97490144  -0.17318849   -2.5879923   -4.0492458 
    4500   0.96643785 -0.078759923   -2.5925665   -4.0411342 
    4600   0.96474764  0.040142491   -2.5745073   -4.0205416 
    4700   0.99212063 -0.064811147   -2.5364896   -4.0235525 
    4800    1.0254132 -0.064029769   -2.5007927   -4.0377569 
    4900    1.0146766 -0.025365526   -2.4854038   -4.0062752 
    5000   0.97406889   0.22762421    -2.488732   -3.9487376 
    5100    1.0107487  0.035906063   -2.5020532   -4.0170371 
    5200    1.0012621  -0.10388389   -2.5198279   -4.0205925 
    5300   0.99764309  -0.10425627   -2.5325158   -4.0278561 
    5400    1.0013743  -0.11230373   -2.5375472   -4.0384802 
