run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0          1.1   -1.1074197   -2.6873543   -4.3361146 
     100   0.90297212  -0.27383437   -2.6264341   -3.9798746 
     200   0.90206511  -0.10711636   -2.5523862   -3.9044672 
     300   0.95392231 -0.084659478   -2.4596355    -3.889444 
     400    0.9977456 -0.014500453   -2.3639295   -3.8594234 
     500    1.0473949 -0.087845549   -2.2711135   -3.8410255 
     600    1.0617891   0.10197109   -2.1845858   -3.7760729 
     700    1.0800411   0.24372657   -2.1112362   -3.7300806 
     800     1.113086   0.15327292   -2.0515718   -3.7199464 
     900    1.1264472   0.16684302   -2.0101436   -3.6985449 
    1000    1.1355301   0.20346944   -1.9928346     -3.69485 
    1100    1.1081183   0.25264708   -2.0019467   -3.6628753 
    1200    1.1090336   0.16482495   -2.0329584   -3.6952589 
    1300    1.0795821   0.11795392   -2.0732364   -3.6913929 
    1400    1.0589536  0.077251527   -2.0992847   -3.6865218 
    1500    1.0642883 -0.0018333094   -2.0976655   -3.6928985 
    1600    1.0710296   0.14043656   -2.0688912   -3.6742285 
    1700    1.0903882  0.080443298   -2.0242917   -3.6586451 
    1800    1.1321654  0.083610527   -1.9831282   -3.6801004 
    1900    1.1414371   0.18063017   -1.9638689   -3.6747382 
    2000    1.1301684   0.14912096   -1.9723687   -3.6663476 
    2100    1.1175788    0.1458859   -2.0003616   -3.6754704 
    2200    1.0980899   0.15085681   -2.0413377    -3.687235 
    2300    1.0662172   0.19260224   -2.0755373   -3.6736614 
    2400    1.0833378  0.029541972    -2.093579   -3.7173648 
    2500    1.0712554  0.061684294   -2.0910858   -3.6967617 
    2600    1.0974222   0.17421538   -2.0693381   -3.7142346 
    2700    1.1056477   0.13568838   -2.0381977   -3.6954232 
    2800    1.0835017   0.28766255   -2.0109575   -3.6349889 
    2900    1.1302296   0.19584189   -1.9993154    -3.693386 
    3000     1.115091   0.24198615   -2.0129414   -3.6843213 
    3100    1.1085143   0.15594394   -2.0504475   -3.7119697 
    3200    1.0834384    0.1473703   -2.0972184    -3.721155 
    3300    1.0748899  0.069954074   -2.1192126   -3.7303361 
    3400    1.0518218   0.13482067   -2.1163315   -3.6928789 
    3500    1.0778181  0.066868096    -2.096498   -3.7120105 
    3600    1.0848936  0.069816416   -2.0710132   -3.6971309 
    3700    1.0974721  0.086580124   -2.0478168   -3.6927881 
    3800    1.1135324  0.072862993   -2.0279286   -3.6969723 
    3900     1.138385 0.0012164178   -2.0165205    -3.722815 
    4000    1.0984242   0.16406688   -2.0161125   -3.6625109 
    4100     1.098261    0.1726463   -2.0266771   -3.6728309 
    4200    1.1032603   0.10786992   -2.0523115   -3.7059587 
    4300    1.0547999  0.083549107    -2.092376   -3.6733871 
    4400     1.049108  0.079601712   -2.1224379   -3.6949176 
    4500    1.0293176   0.12735946   -2.1202485   -3.6630648 
    4600    1.0792316    0.1039906   -2.0720344   -3.6896655 
    4700    1.0977146   0.25474591   -2.0179385   -3.6632734 
    4800    1.1262056   0.14491013   -1.9969285   -3.6849677 
    4900    1.1032181   0.13406067   -1.9967503   -3.6503341 
    5000    1.1063891  0.083329024   -2.0055635   -3.6639002 
    5100    1.1218061 -0.00040232695   -2.0216887   -3.7031336 
    5200    1.0871051  0.095181249   -2.0446714   -3.6741039 
    5300    1.0844187  0.057145899   -2.0674778   -3.6928837 
    5400    1.0804423   0.14562324   -2.0867075   -3.7061534 
