run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0          0.9   0.46294338   -3.1605762    -4.509562 
     100   0.84098591  -0.27535342   -3.1104919    -4.371023 
     200   0.78585815  -0.32096887   -3.0657153   -4.2436168 
     300   0.80980385  -0.48709992   -3.0067533   -4.2205464 
     400   0.83939495  -0.47577908   -2.9427889   -4.2009353 
     500   0.86124767   -0.3558281   -2.8819347   -4.1728356 
     600    0.8772873  -0.21487803   -2.8261853   -4.1411276 
     700   0.91567683  -0.25884895   -2.7811915   -4.1536748 
     800   0.95185957  -0.12738004   -2.7537838   -4.1805005 
     900   0.93529444  -0.14756454   -2.7528478   -4.1547354 
    1000   0.91741557  -0.20408807   -2.7748206     -4.14991 
    1100   0.89199864  -0.16127001    -2.806518   -4.1435107 
    1200   0.88734456  -0.18442979   -2.8337211    -4.163738 
    1300   0.87062372  -0.16907406   -2.8507588   -4.1557132 
    1400   0.87009058  -0.19467695   -2.8532423   -4.1573976 
    1500   0.88871183  -0.36454161   -2.8348653   -4.1669315 
    1600   0.90125756  -0.25478329   -2.8017843   -4.1526549 
    1700   0.91218907  -0.20034779    -2.772737   -4.1399926 
    1800   0.94825302  -0.26426466   -2.7583308   -4.1796416 
    1900   0.92687605 -0.065922361   -2.7681126   -4.1573821 
    2000   0.91447283  -0.31302299   -2.7918065   -4.1624851 
    2100   0.88005168  -0.26265271   -2.8200762   -4.1391619 
    2200   0.87368211  -0.16279759   -2.8350107   -4.1445492 
    2300   0.89893374  -0.26922059   -2.8349422   -4.1823298 
    2400   0.90230416  -0.20919491   -2.8258511   -4.1782905 
    2500   0.89989955 -0.054711963    -2.802287   -4.1511222 
    2600   0.91251411  -0.15993056   -2.7569283   -4.1246711 
    2700   0.93270777  -0.14518012   -2.7215554   -4.1195659 
    2800   0.92773633 -0.064957313   -2.7212583   -4.1118172 
    2900   0.92886739  -0.17998192   -2.7451942   -4.1374485 
    3000   0.91602599  -0.21901782   -2.7737467   -4.1467533 
    3100   0.90425331   -0.2643489    -2.791353   -4.1467139 
    3200   0.91446698  -0.31313422   -2.7985037   -4.1691736 
    3300   0.89396506  -0.21668196   -2.7997576   -4.1396977 
    3400   0.90279861  -0.16067225   -2.7986193   -4.1517998 
    3500    0.9230482  -0.27270807    -2.799192    -4.182724 
    3600   0.90140551  -0.21275581   -2.8077834   -4.1588758 
    3700   0.89339534  -0.24119155    -2.831619   -4.1707052 
    3800   0.86407646  -0.21863205   -2.8664497   -4.1615906 
    3900   0.86167471  -0.30440977   -2.8862526   -4.1777936 
    4000   0.83775675  -0.19261863   -2.8777996   -4.1334906 
    4100   0.88324981  -0.31827653   -2.8386773   -4.1625566 
    4200    0.9237564  -0.27623936   -2.8043566   -4.1889501 
    4300   0.92659652  -0.20066491   -2.7950578   -4.1839083 
    4400    0.8975101  -0.14465345   -2.7974278   -4.1426815 
    4500    0.9002106  -0.30410118   -2.8044021   -4.1537034 
    4600    0.9067222  -0.27271603   -2.8135365   -4.1725979 
    4700   0.91663389  -0.30699801   -2.8270589   -4.2009768 
    4800   0.89016606  -0.24745851   -2.8517944   -4.1860403 
    4900   0.87865398  -0.26113196   -2.8747984   -4.1917891 
    5000   0.85136277  -0.11633291    -2.887292   -4.1633767 
    5100   0.89093152  -0.28020551   -2.8819784   -4.2173716 
    5200   0.88919713   -0.2658243   -2.8571657   -4.1899593 
    5300   0.92018145  -0.15207852   -2.8156327   -4.1948678 
