T_imp,P_imp,Temp,Temp_std,Press,Press_std,Volume,Volume_std
0.1,0.1,0.0999409758409091,0.004777872600072394,0.10641790404545454,0.06637137761601006,1334.0344545454545,2.65173330676495
0.1,0.2,0.0997345514,0.0032388194533756643,0.20585900404444452,0.06474967379373851,1331.8232444444443,2.2078992147444456
0.1,0.30000000000000004,0.09976766457777779,0.004626467103447048,0.30903863822222216,0.059971155990016234,1328.9195266666663,2.6787870000680174
0.1,0.4,0.09967467389130434,0.004649362718247759,0.39785603608695647,0.05895234477963294,1324.9136869565218,3.2317594835986596
0.1,0.5,0.09955638250000001,0.004447793468516817,0.5000356065217393,0.0651110115710628,1319.798354347826,3.205921923274697
0.1,0.6,0.09974420065217392,0.004079089534712811,0.5988968817391305,0.06619038283564083,1323.0522217391306,2.1244736991130613
0.1,0.7000000000000001,0.10003586155555555,0.00393151055236915,0.6982451155555555,0.06175419824540758,1315.904531111111,3.0605521917764644
0.1,0.8,0.0999914677105263,0.00335474455170244,0.8074684352631579,0.06718913979963238,1314.3489526315789,1.6603153801131951
0.1,0.9,0.09952883458695651,0.005208426509289457,0.9046491097826086,0.060361017352412484,1315.6308000000004,2.1924126502851573
0.1,1.0,0.09934275119565214,0.0038660112518667414,1.0068414536956523,0.053160499755587794,1312.8934956521737,1.6655951316541049
0.1,1.1,0.09987006867391304,0.004753540430063869,1.1018005823913044,0.061736311065898566,1310.0545260869567,2.2224495592099407
0.1,1.2000000000000002,0.09961424391304347,0.004153172729752131,1.202079843478261,0.05722003559689806,1308.468104347826,1.5929414962313826
0.1,1.3000000000000003,0.09968829451162792,0.0038535506054019207,1.3016766,0.059522610999795895,1305.3740162790698,1.9853530448073273
0.1,1.4000000000000001,0.09943748391304347,0.004131803138312055,1.403739710869565,0.06487737052517593,1303.783706521739,1.907281569737892
0.1,1.5000000000000002,0.09949129552173916,0.0045234821373206485,1.5075701239130432,0.07210738360455787,1302.945560869565,1.6488310767853678
0.1,1.6,0.0995823917173913,0.004931869151715603,1.6011046673913043,0.06993599860440743,1301.8857500000001,1.6924911035345058
0.1,1.7000000000000002,0.10039977519565221,0.006509047100217561,1.699349141304348,0.0698039880528313,1285.9377260869564,12.471275724822107
0.1,1.8000000000000003,0.09983231215555557,0.003938439435194541,1.7995412977777774,0.06338507446355168,1296.9106866666666,1.5736408765238579
0.1,1.9000000000000001,0.09989553565957449,0.004303567258718084,1.8993464,0.06469733604043143,1292.4394170212765,2.2025980394843
0.2,0.1,0.19950486818181815,0.003910934191980962,0.09759801223409091,0.07260406467013183,1365.664609090909,28.20078635137374
0.2,0.2,0.19977213024390242,0.005126035194005011,0.20637784353658534,0.06790216558196419,1347.6959219512196,3.883094834272943
0.2,0.30000000000000004,0.2006471262222222,0.0072119995279833725,0.29542069688888895,0.09470179492245491,1349.8129644444448,4.218073282654886
0.2,0.4,0.1998615595,0.006274825099297171,0.41103376075,0.0878114122645885,1349.018115,2.6423197448028644
0.2,0.5,0.19900860488888886,0.0072645258975449,0.5103800259999999,0.0855619147298135,1346.861597777778,3.2609728105097413
0.2,0.6,0.1996277942222222,0.008208566536591308,0.5982266453333333,0.09035578412580052,1342.250031111111,3.6849390638002486
0.2,0.7000000000000001,0.20015922822222226,0.006486585703868592,0.6987599375555555,0.08636187848812564,1339.6306044444445,3.6348380725636322
0.2,0.8,0.19926070439024388,0.007157292543444694,0.8052330356097562,0.09278313196159853,1335.0666609756097,2.718741869525543
0.2,0.9,0.2006874493478261,0.006352195619441666,0.8960320415217392,0.09365691655986565,1331.0716239130434,4.9257496814183925
0.2,1.0,0.2002963791304348,0.00686654760499134,1.001041248478261,0.09182074439975808,1332.1549239130434,3.5878116589476123
0.2,1.1,0.19973548906976746,0.006337865815636449,1.1130545876744184,0.08767897647454169,1330.5730046511628,2.520659241008327
0.2,1.2000000000000002,0.19901416326086954,0.007266437433812018,1.2013397145652172,0.09313177202468988,1327.49492826087,4.007934757000823
0.2,1.3000000000000003,0.2000693504347827,0.006549085345686584,1.29156347173913,0.08649172174645856,1326.790354347826,2.4671478206631394
0.2,1.4000000000000001,0.19894149955555554,0.006782083341970947,1.4017426933333332,0.09494601519333301,1306.1340088888887,22.394925612516413
0.2,1.5000000000000002,0.20052639826086957,0.007536995695664298,1.4874311239130438,0.08830718670386317,1320.8671521739132,2.7021456343897934
0.2,1.6,0.2003703848888889,0.007746593874573842,1.615762502222222,0.1055875576454231,1316.250971111111,3.5823129121109076
0.2,1.7000000000000002,0.19980966155555555,0.008740222981085134,1.703308786666667,0.07884427654414493,1315.9033266666668,2.7985590707759243
0.2,1.8000000000000003,0.2002149467391305,0.008338863325412981,1.8070386173913042,0.07481680705835192,1291.0694913043478,22.254578825870443
0.2,1.9000000000000001,0.19899931369565216,0.0076457042306309845,1.9190616934782612,0.0952685938124312,1310.313854347826,2.8561419009099027
0.30000000000000004,0.1,0.2996333812195122,0.007095452457692644,0.11313445713414633,0.09774183450927222,1384.3084634146342,8.073268958300092
0.30000000000000004,0.2,0.30039775560975607,0.0072942759131289945,0.19557128240731705,0.10268571769996458,1379.9831268292683,7.41308514127008
0.30000000000000004,0.30000000000000004,0.2985494613636363,0.008353045269368857,0.29943928654545454,0.09822126912588389,1380.2424568181818,4.920062017920178
0.30000000000000004,0.4,0.30034452886363633,0.008781728700065067,0.40887136727272727,0.10015715989477542,1374.1978295454546,4.479728261877444
0.30000000000000004,0.5,0.3003348826666667,0.008812860077492409,0.4886902671111112,0.10817597971743566,1356.1047733333335,22.998465009294282
