run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 16 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.755 | 2.755 | 2.755 Mbytes
Step Temp Press TotEng PotEng 
       0            2   0.15661245    2.9220612 -0.075684814 
     100    2.1366219   0.18626001    2.9110514  -0.29147349 
     200    2.1625499   0.18080471    2.7968413  -0.44454637 
     300    2.1021937   0.17015176    2.6777954  -0.47312606 
     400     2.040097   0.17465119    2.5959576  -0.46188879 
     500     2.010357   0.15825003    2.5157658  -0.49750408 
     600     1.969275   0.15271905     2.454294  -0.49739917 
     700    1.9427331   0.16402728    2.4255467  -0.48636355 
     800    1.9582493   0.16340786     2.430388  -0.50477907 
     900    1.9708499    0.1642302    2.4633612  -0.49069265 
    1000    2.0153143   0.15751832    2.5148609  -0.50583928 
    1100    2.0369994   0.16382261    2.5596166  -0.49358695 
    1200    2.0689098   0.15832827    2.5775588  -0.52347428 
    1300    2.0525791    0.1661754    2.5492763  -0.52727906 
    1400    1.9684251   0.17351358    2.4707893  -0.47963001 
    1500    1.9420929   0.16013506    2.4056585  -0.50529215 
    1600     1.934469   0.14727446    2.3935027  -0.50602074 
    1700    1.9498178   0.16043692    2.4218309  -0.50069839 
    1800    1.9867976   0.16925309    2.4644794  -0.51347797 
    1900    2.0126589   0.15051987    2.4930258  -0.52369439 
    2000    2.0167632   0.16116948    2.5023168  -0.52055519 
    2100    2.0203201   0.15981035    2.4997868  -0.52841653 
    2200    2.0239627   0.16263212    2.4841264  -0.54953669 
    2300    1.9909831   0.16049133    2.4549388  -0.52929198 
    2400    1.9674447   0.14693082    2.4307044  -0.51824544 
    2500    1.9622663   0.16501221    2.4283451  -0.51284295 
    2600    2.0035622   0.15659166    2.4645846  -0.53850072 
    2700    2.0353683   0.17434865    2.5460341  -0.50472444 
    2800    2.0927075   0.16772942    2.6060297  -0.53067311 
    2900    2.0806831   0.18057425    2.5961079  -0.52257188 
    3000    2.0289145   0.17042624    2.5176503    -0.523435 
    3100    1.9961009   0.15154452    2.4398195  -0.55208224 
    3200    1.9511354   0.15989742    2.4119537  -0.51255057 
    3300     1.963332   0.15405543    2.4217664  -0.52101899 
    3400     1.989511    0.1542819    2.4561705  -0.52585384 
    3500    2.0084565   0.16145031     2.498739  -0.51168234 
    3600    2.0290767   0.16995652    2.5319566  -0.50937173 
    3700    2.0421376   0.16523401    2.5412293  -0.51967565 
    3800    2.0113598   0.17121868    2.5055351  -0.50923778 
    3900    1.9445974   0.15262876    2.3920671  -0.52263746 
    4000    1.9026704   0.14037542    2.3188999  -0.53296137 
    4100     1.909609   0.13686242    2.3364304  -0.52583106 
    4200    1.9409496    0.1652472    2.4049123  -0.50432465 
    4300    1.9984745   0.14867688    2.4702087  -0.52525082 
    4400      2.00769   0.15900228    2.5123951  -0.49687735 
    4500    2.0313014   0.17087409    2.5356219  -0.50904104 
    4600     2.027935   0.16842402    2.5317189  -0.50789808 
    4700    2.0162009   0.16212168    2.4982973  -0.52373185 
    4800    1.9955886   0.14970833    2.4409917  -0.55014218 
    4900    1.9538286   0.14812374    2.3856028  -0.54293814 
    5000      1.93175   0.14465732     2.360311  -0.53513693 
    5100     1.955082   0.15223125    2.3929461  -0.53747364 
    5200    2.0336098   0.15806368    2.5194811  -0.52864175 
    5300    2.0800599   0.16580012    2.5942661  -0.52347962 
    5400    2.0636977   0.16909294    2.5836558  -0.50956506 
    5500    2.0476081   0.15885846    2.5310451  -0.53805942 
    5600     2.006492   0.14872082    2.4667478  -0.54072888 
    5700    1.9754132   0.15922282    2.4231379  -0.53775566 
    5800    1.9763955   0.13942486    2.4063687  -0.55599727 
    5900    1.9539048   0.16148913    2.4175542  -0.51110101 
    6000    2.0163786   0.15186047    2.4553044  -0.56699107 
    6100    2.0423518   0.15833149     2.506778  -0.55444802 
    6200    2.0799982   0.15357933    2.5661745  -0.55147874 
    6300    2.1064678   0.17892283    2.6147457  -0.54258215 
    6400     2.085235   0.16450592    2.5989732  -0.52652924 
    6500    2.0166342   0.16089227     2.493183   -0.5294956 
    6600    1.9664166   0.16091506    2.4063821  -0.54102673 
    6700    1.9355338   0.15759834    2.3811885  -0.51993091 
    6800    1.9581102   0.15525641    2.4004823   -0.5344763 
    6900    1.9872728   0.15705729    2.4500575  -0.52861214 
    7000    2.0191591   0.15868293     2.507803  -0.51866014 
    7100    2.0434404    0.1599248    2.5450706  -0.51778717 
    7200    2.0491396   0.17159818    2.5467685  -0.52463151 
    7300    2.0108004   0.17219299    2.5050468   -0.5088877 
    7400    1.9638193   0.14623153    2.4245125  -0.51900328 
    7500    1.9293826   0.14970996    2.3534739  -0.53842562 
    7600    1.9244173   0.15239144    2.3335863  -0.55087086 
    7700    1.9385874   0.14283632    2.3748041  -0.53089221 
    7800    2.0032323    0.1579554    2.4776838  -0.52490708 
    7900    2.0371111   0.17049854    2.5325711  -0.52079989 
    8000    2.0408429   0.16019716    2.5278376  -0.53112683 
    8100    2.0282068   0.16536727    2.5004844  -0.53954014 
    8200    1.9936765   0.15584693    2.4550783  -0.53318963 
    8300    1.9623788   0.15295813    2.4201298  -0.52122694 
    8400    1.9612382   0.14955491    2.4131022  -0.52654492 
    8500    1.9795929   0.16231272     2.435017  -0.53214141 
    8600    2.0009969    0.1592294    2.4802343  -0.51900591 
    8700    2.0346723   0.16010866    2.5343794    -0.515336 
    8800    2.0559721   0.15984859    2.5735045  -0.50813659 
    8900     2.052796   0.16257173    2.5804643  -0.49641626 
    9000    2.0341043   0.16236496    2.5383574  -0.51050671 
    9100    1.9680407   0.16227385    2.4349077  -0.51493539 
    9200    1.9358715   0.15499054    2.3626138  -0.53901184 
    9300    1.9256791   0.15215752    2.3614208   -0.5249276 
    9400    1.9591629   0.14858835    2.4034584  -0.53307806 
    9500    1.9788102   0.15567749    2.4575035  -0.50848179 
    9600    2.0023855   0.16230929    2.4992996  -0.50202203 
    9700    2.0191457   0.16407536    2.5214917  -0.50495134 
    9800    2.0217562   0.16572668    2.5234043  -0.50695156 
    9900    1.9998689   0.16786921    2.5087991  -0.48875044 
   10000    2.0024245   0.15986934    2.4845727  -0.51680742 
   10100    1.9743059    0.1595455    2.4425676  -0.51666634 
   10200    1.9339882   0.14434346    2.3706989  -0.52810381 
   10300     1.872867   0.15849122    2.3096597  -0.49753004 
   10400    1.8968276    0.1486421    2.3197969  -0.52330687 
   10500    1.9481099   0.15996745    2.4179875  -0.50198178 
   10600    2.0202964   0.16284331    2.5039735  -0.52419423 
   10700    2.0311249   0.16295686    2.5306436  -0.51375468 
   10800    2.0220898   0.15724765    2.5285892  -0.50226665 
   10900    2.0122941   0.15671816    2.5121814  -0.50399188 
   11000    2.0217304   0.15024425    2.4817746  -0.54854255 
   11100    1.9697368   0.15058769    2.4370754   -0.5153099 
   11200    1.9581673   0.14882013    2.4046361  -0.53040798 
   11300    1.9450065   0.16341178    2.4003279  -0.51498989 
   11400    1.9770927   0.15953075    2.4411282  -0.52228274 
   11500    2.0407162   0.16592666    2.5328313  -0.52594327 
   11600    2.0829866   0.16995691    2.5934432  -0.52868927 
   11700    2.0693489   0.17300385    2.5849451  -0.51674615 
   11800    2.0205438   0.17406134    2.5243282  -0.50421034 
   11900    1.9912112   0.14838958    2.4599639  -0.52460882 
   12000    1.9927914   0.14296094    2.4333648  -0.55357651 
   12100    1.9769232   0.15521289    2.4329953  -0.53016158 
   12200    1.9842864   0.17119744    2.4462044  -0.52798905 
   12300    1.9947865   0.15647531     2.462243  -0.52768874 
   12400    1.9936833   0.16204311     2.479464  -0.50881417 
   12500    2.0033066   0.15876852    2.4997513  -0.50295096 
   12600    2.0237268   0.16601762    2.5323523  -0.50095711 
   12700    2.0645354   0.17640343    2.5863515   -0.5081249 
   12800    2.1036888    0.1660579    2.6255946  -0.52756777 
   12900    2.0803353   0.17285446    2.5942154  -0.52394305 
   13000     2.007669   0.16448753    2.4948257  -0.51441514 
   13100    1.9789021   0.14859817    2.4206043  -0.54551876 
   13200    1.9669152   0.15327514    2.3921317  -0.55602444 
   13300    1.9564086   0.14899448    2.3973668  -0.53504129 
   13400    1.9830065   0.14690011    2.4404907  -0.53178428 
   13500    2.0110915   0.16630944    2.5050909  -0.50927984 
   13600    2.0478874   0.16236132    2.5522519  -0.51727138 
