run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0            1  -0.84784527   -2.9116464   -4.4105194 
     100   0.82322604  -0.20877488   -2.8553186   -4.0892299 
     200   0.83777312  -0.35209536   -2.7899738   -4.0456893 
     300    0.8794143  -0.19988647   -2.7075613   -4.0256916 
     400   0.91191794  -0.26897033   -2.6234108     -3.99026 
     500   0.93772803  -0.20849559   -2.5416968   -3.9472321 
     600   0.95314316 -0.043921939   -2.4635407   -3.8921813 
     700    1.0304518 -0.071047759   -2.3946182   -3.9391346 
     800    1.0593433 -0.064205891   -2.3464491   -3.9342702 
     900    1.0481237  0.060010933   -2.3289835   -3.8999878 
    1000    1.0422688 -0.061349283   -2.3398241   -3.9020527 
    1100     1.012532 0.0074541433   -2.3693849   -3.8870418 
    1200   0.99454788 -0.071061785   -2.4024015   -3.8931025 
    1300   0.96294785 -0.046943325   -2.4279598   -3.8712963 
    1400   0.97712639  -0.11392669   -2.4357119   -3.9003003 
    1500   0.96298298 -0.0051055383    -2.425869   -3.8692582 
    1600   0.96944756 -0.043324762    -2.402415   -3.8554938 
    1700    1.0120188   -0.1015895   -2.3689153   -3.8858029 
    1800    1.0167827 -0.065918621   -2.3368322   -3.8608604 
    1900    1.0190124  -0.03357111   -2.3142978    -3.841668 
    2000    1.0319371 -0.006791621    -2.304382   -3.8511247 
    2100    1.0210703  0.050983188   -2.3119921   -3.8424468 
    2200    1.0126381 -0.063980717   -2.3375961    -3.855412 
    2300   0.97544262 -0.027572222    -2.365237   -3.8273016 
    2400   0.98250077  -0.13694194   -2.3833632   -3.8560071 
    2500   0.98559551 -0.028068393   -2.3835877   -3.8608702 
    2600   0.99994335  -0.10086128   -2.3678253   -3.8666135 
    2700    1.0062831 -0.068878087   -2.3409136   -3.8492042 
    2800    1.0108214  -0.10218514    -2.310693    -3.825786 
    2900    1.0112276  0.030176082    -2.287809   -3.8035107 
    3000    1.0286937 -0.019118758   -2.2816904   -3.8235717 
    3100    1.0224036 -0.0089644367     -2.29472   -3.8271732 
    3200    1.0068853  -0.10813511   -2.3392332   -3.8484264 
    3300   0.97380628 -0.097333466   -2.3910243   -3.8506363 
    3400   0.97112999  -0.16458416   -2.4010124    -3.856613 
    3500   0.96333226  -0.16692887    -2.390423   -3.8343357 
    3600   0.98604983 -0.093778225   -2.3675028   -3.8454663 
    3700    0.9984744 -0.027413125   -2.3386127    -3.835199 
    3800    1.0115132  -0.08672312   -2.3172352   -3.8333651 
    3900     1.015376 -0.020148528   -2.3051271   -3.8270469 
    4000    1.0115966 0.0089704512   -2.3079004   -3.8241553 
    4100    1.0045351  -0.15836704   -2.3257338   -3.8314044 
    4200   0.97925949 -0.058312738   -2.3517429   -3.8195285 
    4300   0.97259433 -0.092395829   -2.3858051   -3.8436005 
    4400   0.96214256  -0.20174148   -2.4202034    -3.862333 
    4500   0.94908002   -0.1354317   -2.4318164   -3.8543668 
    4600    0.9838546   -0.1458866   -2.4038716   -3.8785447 
    4700   0.99767078 -0.065446505    -2.344723   -3.8401049 
    4800    1.0372536  -0.13606257    -2.316284   -3.8709955 
    4900    1.0203613  0.015166577   -2.3143365   -3.8437285 
    5000   0.99995686 -0.073755601   -2.3248958   -3.8237041 
    5100   0.99388687 -0.012297952   -2.3413407   -3.8310509 
    5200    0.9993268 -0.087479828   -2.3550389   -3.8529029 
    5300   0.97111243 -0.064714488   -2.3651941   -3.8207683 
