run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 20 20 20
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.724 | 2.724 | 2.724 Mbytes
Step Temp Press TotEng PotEng 
       0          1.1  0.043805229    1.6319084 -0.016851946 
     100    1.1183232  0.048369461    1.6299396 -0.046284866 
     200    1.1764705  0.049172686    1.6028038  -0.16057617 
     300    1.1588118  0.046962814    1.5236602  -0.21325152 
     400    1.1386426  0.041798836    1.4746757  -0.23200495 
     500    1.1190794  0.040886988     1.434838  -0.24251988 
     600    1.1031743  0.043218041      1.39557  -0.25794823 
     700    1.0865136  0.040189526    1.3615752  -0.26697078 
     800    1.0634174  0.036561003    1.3430652  -0.25086246 
     900    1.0742329  0.040042075    1.3491801  -0.26095864 
    1000    1.1025266  0.041193262     1.375034  -0.27751348 
    1100    1.1238633  0.041000005    1.4012201  -0.28330833 
    1200    1.1346247  0.043363944    1.4096829   -0.2909754 
    1300     1.122211  0.043432735    1.3906008  -0.29145098 
    1400    1.0959329  0.038398142    1.3468964  -0.29576781 
    1500     1.074867  0.038484169    1.3126192   -0.2984699 
    1600     1.068028  0.039350524    1.3047285  -0.29610978 
    1700    1.0810013  0.039940407    1.3166301  -0.30365363 
    1800    1.0953751   0.03895573     1.335113  -0.30671522 
    1900    1.1049849  0.040010778    1.3490192   -0.3072129 
    2000    1.1125435   0.04086485    1.3538084    -0.313753 
    2100    1.1057273  0.040929317    1.3494703  -0.30787459 
    2200     1.102878  0.039471285    1.3413744  -0.31169965 
    2300    1.1040645  0.036965229    1.3321019  -0.32275062 
    2400    1.0984297  0.038930854      1.32404  -0.32236667 
    2500    1.0889805  0.039613232    1.3193936  -0.31284988 
