run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0          0.8     11.01901   -2.1613574   -3.3604558 
     100    1.5826412    1.4672503   -2.3259019   -4.6980801 
     200    1.2798433     2.279448    -2.630075   -4.5483976 
     300    1.1572609     1.778717   -2.9116533   -4.6462405 
     400    1.0739651    1.0583914    -3.161633   -4.7713703 
     500   0.96781601    0.7287651   -3.3694817    -4.820115 
     600   0.88968655   0.47376752   -3.5413738    -4.874901 
     700   0.83152911   0.22722397    -3.676031   -4.9223876 
     800   0.80013842  -0.13223513   -3.7785523   -4.9778581 
     900   0.75167458  -0.11672844   -3.8494485   -4.9761133 
    1000   0.74992751  -0.31599705   -3.8880189    -5.012065 
    1100    0.7447053  -0.30507633   -3.8926817   -5.0089004 
    1200   0.77557354  -0.30579953   -3.8585604   -5.0210466 
    1300   0.77878313  0.024950732   -3.8011094   -4.9684064 
    1400   0.82795851  0.039633291    -3.737729   -4.9787337 
    1500   0.83207567   0.18740818   -3.6921295   -4.9393053 
    1600   0.84905532   0.15862927   -3.6721434   -4.9447695 
    1700   0.82258033   0.26525592   -3.6884713   -4.9214148 
    1800   0.82802612 -0.065354841   -3.7319195   -4.9730255 
    1900   0.78444809 0.0011293081   -3.7866242   -4.9624123 
    2000   0.75299219 -0.045708715   -3.8297766   -4.9584163 
    2100   0.78161197  -0.33166045   -3.8506048   -5.0221419 
    2200   0.75529045  -0.12597945   -3.8472317   -4.9793162 
    2300   0.77524453  -0.14932749   -3.8186348   -4.9806279 
    2400   0.80676139 -0.086420627   -3.7762095   -4.9854424 
    2500   0.79745215    0.1557914   -3.7365886   -4.9318682 
    2600   0.82268335   0.11373372   -3.7076215   -4.9407194 
    2700   0.84107246 -0.00092154387   -3.6995585   -4.9602194 
    2800   0.81727856   0.14880634   -3.7199324   -4.9449292 
    2900   0.80782436 -0.026303136   -3.7583109    -4.969137 
    3000    0.7839888  -0.11347156   -3.8003131   -4.9754127 
    3100    0.7832125  -0.19565111   -3.8280929    -5.002029 
    3200   0.76396081   -0.1452476   -3.8389315   -4.9840118 
    3300   0.77233732 -0.054561734   -3.8274919   -4.9851274 
    3400   0.80490436  -0.19011154   -3.8017798   -5.0082292 
    3500   0.81826716  -0.16006972   -3.7723494    -4.998828 
    3600   0.82023714 -0.062484657   -3.7452521   -4.9746834 
    3700   0.80746372   0.17222212   -3.7261377   -4.9364233 
    3800   0.80743916   0.21109023   -3.7216044   -4.9318532 
    3900   0.81710621  0.088074876   -3.7342623   -4.9590007 
    4000   0.80423207 -0.065094141   -3.7587141   -4.9641559 
    4100    0.7887984  -0.12368902   -3.7814223    -4.963731 
    4200   0.80000689  -0.17844806   -3.7967719   -4.9958807 
    4300   0.79612809  -0.20100694   -3.8033306   -4.9966256 
    4400   0.77727252   -0.1185765   -3.8011808   -4.9662136 
    4500   0.80005469 -0.051937064   -3.7880701   -4.9872505 
    4600   0.79789899    0.0135433   -3.7665048   -4.9624541 
    4700   0.80691933   0.03839749   -3.7461666   -4.9556362 
    4800   0.79827362   0.14409408   -3.7345894   -4.9311002 
    4900   0.83065973 0.0029543287   -3.7330982   -4.9781516 
    5000   0.82823605  -0.11919166   -3.7454528   -4.9868734 
    5100   0.79805344  0.048953757   -3.7652095   -4.9613903 
    5200   0.81233726  -0.14781794   -3.7868583   -5.0044487 
    5300   0.80448119  -0.19878424      -3.8067   -5.0125152 
    5400   0.77354978  -0.06109977   -3.8168267   -4.9762796 
