run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0          0.8    12.871934   -1.8820749   -3.0811733 
     100    1.6954141    2.3053888   -2.0898155    -4.631026 
     200    1.3365775     3.059288    -2.464014   -4.4673739 
     300     1.225353    2.2866753   -2.7951421   -4.6317907 
     400    1.1345516    1.3845464   -3.0916752   -4.7922241 
     500   0.99502318     1.322072   -3.3347816    -4.826195 
     600   0.93993903   0.69970423   -3.5333022   -4.9421515 
     700   0.85570963   0.39417172    -3.693476   -4.9760761 
     800     0.809656   0.16790922   -3.8132686   -5.0268401 
     900   0.77277086 -0.027417254   -3.9028562   -5.0611416 
    1000   0.74463576  -0.05732172   -3.9581068   -5.0742212 
    1100   0.74441738  -0.11240356   -3.9722064   -5.0879935 
    1200   0.75673344  -0.10865452   -3.9502104   -5.0844578 
    1300   0.79788062  -0.18133894   -3.8995858   -5.0955076 
    1400   0.80052988 -0.016510101   -3.8405683    -5.040461 
    1500   0.83086304    0.1080346   -3.7896941   -5.0350523 
    1600   0.83553371   0.23370199   -3.7592317   -5.0115906 
    1700   0.83934704  0.095080838   -3.7545694   -5.0126441 
    1800   0.81460875   0.24319465   -3.7791168   -5.0001119 
    1900   0.80742249   0.10739732   -3.8183887   -5.0286124 
    2000   0.79692432 -0.059995613   -3.8653487    -5.059837 
    2100   0.77669698 -0.062945434    -3.902107   -5.0662772 
    2200    0.7640736 -0.0073126858   -3.9197192   -5.0649685 
    2300   0.77195771  -0.08546571   -3.9165619   -5.0736285 
    2400   0.78922578 -0.039541482    -3.892458   -5.0754072 
    2500   0.79507123   0.10374573   -3.8564232    -5.048134 
    2600   0.82322626  0.057477136     -3.81753   -5.0514417 
    2700   0.82401518   0.14923317   -3.7942431   -5.0293372 
    2800   0.81126037   0.27686164   -3.7854075   -5.0013838 
    2900   0.84692186  0.029998412    -3.792796   -5.0622243 
    3000   0.80085812   0.19517359   -3.8211216   -5.0215062 
    3100   0.79508677  0.061856586   -3.8580296   -5.0497637 
    3200   0.77652392 -0.018439956   -3.8880932    -5.052004 
    3300   0.78068805 0.0038116123   -3.9012819   -5.0714341 
    3400    0.7767611  0.016716589    -3.898925   -5.0631912 
    3500   0.77748212   0.02907011   -3.8790552   -5.0444022 
    3600   0.79672579   0.10792635    -3.850884   -5.0450748 
    3700   0.80387238   0.12528029    -3.818627   -5.0235296 
    3800   0.81172352   0.20821681   -3.7964951   -5.0131655 
    3900    0.8206212   0.24959415   -3.7889553   -5.0189622 
    4000   0.82045761   0.17392226   -3.7959368   -5.0256986 
    4100   0.79982724    0.2089304   -3.8173458   -5.0161853 
    4200   0.77827294   0.12402666   -3.8457486   -5.0122809 
    4300   0.80199807  -0.14244857   -3.8713606   -5.0734539 
    4400   0.78797394 -0.083681716   -3.8870547   -5.0681276 
    4500   0.79808845 -0.077256813    -3.883977   -5.0802103 
    4600   0.79296015  0.046493901   -3.8698038   -5.0583504 
    4700   0.80516843   0.11214506   -3.8448537    -5.051699 
    4800   0.81019625   0.13428193   -3.8194682   -5.0338495 
    4900   0.81410566   0.16228069   -3.8094492   -5.0296903 
    5000   0.81208192   0.13499646   -3.8158018   -5.0330095 
    5100   0.79648981    0.1965434   -3.8338871   -5.0277242 
    5200   0.79654363  0.016132787   -3.8548429   -5.0487607 
    5300   0.77714696   0.14127729   -3.8778791   -5.0427237 
    5400   0.78406092   -0.1067004   -3.8920688   -5.0672766 
