run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.711 | 2.711 | 2.711 Mbytes
Step Temp Press TotEng PotEng 
       0          0.9  0.044405472    1.3200781 -0.028907617 
     100   0.93247904  0.045019605    1.3180276  -0.07964011 
     200    1.0036201  0.052822028    1.2811772  -0.22312189 
     300   0.99017626   0.05032756    1.2069287  -0.27721979 
     400   0.96556962  0.046401924    1.1503001  -0.29696617 
     500    0.9474877  0.041731934    1.0854817  -0.33468204 
     600   0.91037839  0.043432047    1.0271851  -0.33735654 
     700    0.9004043  0.036652461   0.98344266  -0.36614906 
     800   0.88126204   0.04035517   0.95340337  -0.36749653 
     900   0.87605869  0.040248738   0.93647008  -0.37663065 
    1000   0.89548474  0.035723091   0.93222516  -0.40999277 
    1100    0.9016743  0.037399268   0.93285447  -0.41864081 
    1200   0.90404532  0.036220951   0.93207057  -0.42297858 
    1300   0.89749217  0.035872992   0.92786157  -0.41736523 
    1400   0.89729119  0.034703475   0.92372129  -0.42120428 
    1500   0.89789223  0.031971284   0.92159885  -0.42422758 
    1600    0.9091242  0.041900259   0.92135381  -0.44130793 
    1700   0.90108428  0.036426822    0.9162301  -0.43438083 
    1800   0.90112365  0.032186595   0.90790386  -0.44276607 
    1900   0.90146942  0.035943475   0.89603539  -0.45515282 
    2000   0.88727263  0.035180729   0.88003157  -0.44987745 
    2100   0.89176084  0.038559978   0.86467725  -0.47195902 
    2200   0.88204869  0.032149854   0.85030271  -0.47177627 
    2300   0.87398461  0.033026951   0.84497953  -0.46501243 
    2400   0.90080876  0.033693631   0.85964854  -0.49054941 
    2500   0.91176727  0.035565776   0.89173731  -0.47488606 
    2600   0.92284107  0.035744361    0.9195382  -0.46368339 
    2700   0.93540042  0.032530633   0.92899549  -0.47305096 
    2800   0.92371127  0.038358899   0.91501256  -0.46951335 
    2900   0.90943418  0.034045968   0.87488359  -0.48824277 
    3000   0.86597699  0.029385268   0.84225392  -0.45573563 
    3100   0.88074317  0.039039668   0.84216436  -0.47795783 
    3200   0.89815615  0.033192212   0.85177664  -0.49444538 
    3300   0.90971033  0.038450764   0.85959502  -0.50394525 
    3400   0.89932142  0.040297274    0.8610181  -0.48695052 
    3500   0.90686988  0.033957011   0.85868314  -0.50059966 
    3600   0.90664897  0.035494353    0.8505217  -0.50842998 
    3700   0.87790975  0.031762433   0.82963024    -0.486245 
    3800   0.87082753  0.031978585   0.80587294  -0.49938695 
    3900   0.87004109  0.035023478   0.79439175  -0.50968938 
    4000   0.88400899  0.032344831   0.80233505  -0.52268217 
    4100   0.90308692  0.035125736   0.83175303   -0.5218596 
    4200    0.9244074  0.036559999   0.86346265  -0.52210667 
    4300   0.92098789  0.033221824    0.8769616  -0.50348231 
    4400   0.91659436  0.035463639   0.87510251  -0.49875605 
    4500   0.90530673  0.037134989   0.85727544   -0.4996644 
    4600   0.88208209  0.031947636   0.82039256  -0.50173649 
    4700   0.86407741  0.031596101    0.7848733  -0.51026903 
    4800   0.87707778    0.0304527   0.77562749  -0.53900074 
    4900   0.87760749  0.035608257   0.78863448  -0.52678772 
    5000   0.90593624  0.033581753   0.81437711  -0.54350628 
    5100   0.89993883  0.033873968   0.83385147  -0.51504256 
    5200   0.90143888  0.028623069   0.84125698  -0.50988545 
    5300   0.91274024  0.036361524   0.84377814  -0.52430358 
    5400   0.91963354  0.036628829    0.8377551   -0.5406588 
    5500   0.90015976  0.031785488   0.81990377  -0.52932142 
    5600   0.88389771  0.033142923   0.80400876  -0.52084167 
    5700   0.88396325  0.035904279   0.79800547  -0.52694321 
    5800   0.89297443  0.034198258   0.80249426  -0.53596104 
    5900   0.90420876  0.031955243   0.81732046  -0.53797367 
    6000   0.89509278   0.03413654   0.84450039  -0.49713004 
    6100   0.92197804  0.035749164   0.88165806  -0.50026996 
    6200   0.95057068  0.039150533   0.89933462  -0.52545014 
    6300   0.93136302  0.033453622   0.88212142  -0.51387349 
    6400   0.92664943  0.029602421   0.84900823  -0.53992161 
    6500   0.91375542  0.030963372   0.82497874  -0.54462462 
    6600    0.9070341  0.035699454   0.81150006   -0.5480289 
    6700   0.89282322  0.033344756   0.79960593  -0.53862271 
    6800   0.89200069  0.034586386   0.79068472  -0.54631106 
    6900   0.89536036  0.033395449   0.78582648  -0.55620501 
    7000   0.88974318  0.033658694   0.78267385  -0.55093821 
