T_imp,v_imp,N_avg_points,time,Temp,Temp_std,Press,Press_std,P_tail_corr
0.8,1,18,261.075326681137,0.800037263833333,0.002064156503131,0.085583796038493,0.013016940566297,-0.534977715781713
0.8,1.01888888888889,18,260.373123884201,0.799600450222222,0.001890342628334,-0.02563652135951,0.013909070075638,-0.623402486396947
0.8,1.03777777777778,18,258.572422027588,0.800228117527778,0.002585977566733,-0.108648675628322,0.012141456904162,-0.684852455477793
0.8,1.05666666666667,18,255.126591444015,0.800671182772222,0.002999472163314,-0.181338146249626,0.014845509038137,-0.737125705721988
0.8,1.07555555555556,18,243.059987068176,0.800313876777778,0.002308913425767,-0.249101514310889,0.01342866397437,-0.785539027730356
0.8,1.09444444444444,18,208.103552818298,0.799818128722222,0.002786501378379,-0.298984312842611,0.011084695177285,-0.817064989566434
0.8,1.11333333333333,18,203.361276865005,0.799346971122222,0.002628359295118,-0.344502009988333,0.012653324810793,-0.845152231077462
0.8,1.13222222222222,18,198.52521777153,0.799931260866667,0.002132154731188,-0.373925969888889,0.010294195528234,-0.858010815693353
0.8,1.15111111111111,18,196.329693794251,0.800053896788889,0.002191804186173,-0.40306466249,0.011727749325778,-0.871392900529057
0.8,1.17,18,193.840088844299,0.801044129466667,0.001462006900428,-0.414629928622222,0.011266221366077,-0.867958522252295
0.8,23,18,36.0992732048035,0.800509998272222,0.002351584453938,0.022334374162111,0.001561161164026,0.021161290018784
0.8,24.8888888888889,18,26.1748104095459,0.8001732823,0.001826976500262,0.023424597553889,0.000518872283791,0.022422814182209
0.8,26.7777777777778,18,24.1670122146606,0.800236401905556,0.001630992968322,0.022823988332778,0.000350566272387,0.021958550711913
0.8,28.6666666666667,18,23.138459444046,0.800179570966667,0.002018829791435,0.022177080557778,0.000192598480187,0.02142193539737
0.8,30.5555555555556,18,22.2738115787506,0.800432937677778,0.001472949739839,0.021241573420556,0.000270755954109,0.020576905883929
0.8,32.4444444444444,18,21.2028667926788,0.799722917416667,0.002033616500606,0.020533099649445,0.000252994616537,0.019943572035711
0.8,34.3333333333333,18,20.7532367706299,0.799922290722222,0.001709696680619,0.019898069271667,0.000210358545942,0.0193716244035
0.8,36.2222222222222,18,19.9243109226227,0.800430375816667,0.001923619916788,0.019140769329445,0.000167650344453,0.018667798174552
0.8,38.1111111111111,18,19.2911939620972,0.799413449594444,0.002134324600831,0.018541693621667,0.000162492665469,0.018114444070396
0.8,40,18,18.8579454421997,0.800109779827778,0.00168418376445,0.017941863427778,0.000153130472801,0.01755401248289
0.9,1,18,217.018555879593,0.899975104766667,0.002171774296184,0.545395735944445,0.015796761112245,-0.075165775875761
0.9,1.02777777777778,18,213.410224676132,0.900494710872222,0.002346910913269,0.362579657794444,0.011281213655023,-0.224891284001746
0.9,1.05555555555556,18,209.13759636879,0.899907273994444,0.002805739374099,0.219767713140501,0.013049447207264,-0.337190541235524
0.9,1.08333333333333,18,205.056703805923,0.89998402745,0.003181802308274,0.104101855649009,0.012234587190544,-0.424660615961111
0.9,1.11111111111111,18,200.865723133087,0.900463348244445,0.001832178695657,0.010919673353893,0.009131157711012,-0.491735151220475
0.9,1.13888888888889,18,197.110153675079,0.899819041011111,0.002378228219867,-0.0583273155537,0.009201757824175,-0.536761413899319
0.9,1.16666666666667,18,194.429934501648,0.899684823383333,0.002905682017845,-0.115016778838133,0.008988623772187,-0.570939522216241
0.9,1.19444444444444,18,191.176338672638,0.898570420522222,0.002522251931758,-0.165389589259222,0.010584930636135,-0.600353201654567
0.9,1.22222222222222,18,187.350183010101,0.900456593783333,0.003159581793845,-0.190679731454189,0.009135665767412,-0.606096941846229
0.9,1.25,18,185.385479688644,0.90000140805,0.002560196509933,-0.213403558568628,0.009982899397513,-0.61056292613356
0.9,17,18,32.5419249534607,0.900617951816666,0.001648290032435,0.035976971837222,0.000524465004107,0.033829700170024
0.9,19.5555555555556,18,28.8502650260925,0.900182225344445,0.002057121091195,0.034045744145556,0.000372163666267,0.032423020667462
0.9,22.1111111111111,18,26.4405744075775,0.899868901361111,0.002466932420154,0.031649234963889,0.000300829231143,0.03037993665179
0.9,24.6666666666667,18,24.7080698013306,0.900447446088889,0.001692958291329,0.029829899981111,0.000254552657517,0.028809985151604
0.9,27.2222222222222,18,23.1518878936768,0.901360002566667,0.001495124266072,0.028149150371667,0.000265671523946,0.027311741251177
0.9,29.7777777777778,18,22.0644855499268,0.899627663272222,0.001543866513217,0.026383085306111,0.000139068386552,0.025683242879381
0.9,32.3333333333333,18,20.8146560192108,0.899876528816667,0.001776990953185,0.024803998536111,0.000153725513091,0.024210412224454
0.9,34.8888888888889,18,19.8828680515289,0.900491938616667,0.001185999001983,0.023571540316667,0.00013626190995,0.023061727723282
0.9,37.4444444444444,18,19.2891936302185,0.9000935474,0.001705600790366,0.022352485353333,0.000139755047472,0.021909886735247
0.9,40,18,18.5942776203156,0.899852249794444,0.001625356713618,0.021245730759445,0.000121987400333,0.020857879814557
1,1,18,217.298969745636,1.00000961528333,0.003325154847414,0.990296808161111,0.011692958866115,0.369735296340905
1,1.03888888888889,18,211.801445484161,0.999801097722222,0.00285704820623,0.709340728211111,0.013030641094373,0.134368810713481
1,1.07777777777778,18,205.972451925278,1.00033383275,0.002097117325342,0.497955125111111,0.012355491551315,-0.036272555380296
1,1.11666666666667,18,200.71239066124,0.999282687905556,0.002775183474699,0.334799621146667,0.011123543869331,-0.16286610452781
1,1.15555555555556,18,195.774091243744,0.999810494288889,0.002896368643595,0.218637465961939,0.014305516678008,-0.246095175101636
