T,a,b,var_a,var_b,cov_ab,r_chi2
0.8,3.304687820125761,0.7669624552179332,0.0003181378807449423,2.9628355596888285e-06,2.968608458554499e-05,28.348127108213863
0.9,3.291419554623388,0.7727652913972961,0.0002465596257923697,2.5121963211571483e-06,2.3905546966665058e-05,36.570535596154585
1.0,3.2424284079791668,0.7733128582980141,0.0002405472302555636,2.4167300791761947e-06,2.2641324589565924e-05,45.03260888092392
1.1,3.2334328712222655,0.7775938486397719,0.00017747917277040925,2.3847697689528613e-06,1.8904754274699744e-05,53.782567122455504
1.2,3.3938278719461286,0.8016944716173496,0.0001650310635074667,2.5749693801522514e-06,1.8617462378617834e-05,93.51243292922324
