T,a,b,var_a,var_b,cov_ab,r_chi2,T_c,var_T_c
0.8,3.304687816473517,0.7669624548650961,0.0003181378878473371,2.962835589649054e-06,2.968608507365236e-05,28.348127108223057,1.2766814779855513,1.750995614517388e-05
0.9,3.291419558282294,0.7727652917712232,0.0002465596190740629,2.512196259173938e-06,2.390554633098245e-05,36.570535596175816,1.2620072809441774,1.3009791735115032e-05
1.0,3.242428400572139,0.7733128575537549,0.0002405472338440301,2.416730109859487e-06,2.2641324924970944e-05,45.03260888090082,1.24234262589985,1.3677646130406455e-05
1.1,3.233432868371023,0.7775938482721083,0.00017747917164617698,2.384769739354287e-06,1.8904754084918756e-05,53.782567122464314,1.2320753120024504,8.928356939044748e-06
1.2,3.3938278742050403,0.8016944719136269,0.00016503106451026041,2.5749693879597704e-06,1.861746246595613e-05,93.51243292916354,1.2543165315756666,7.314627233238803e-06
1.5,3.8145570209546893,0.8863274954397673,0.00021240288960738718,5.56513688983504e-06,3.168553433224697e-05,20.314733430964665,1.2751935634797378,4.777286977287281e-06
2.0,3.4043079032470263,0.8448580227953643,0.00037311484571520974,6.408433587000398e-06,4.533043951278578e-05,8.350176909022993,1.1939092675558585,1.375714992340567e-05
2.5,2.968615635266781,0.8084988402309274,0.0005428454670225912,6.6479936847321584e-06,5.584537736039397e-05,7.758075651755257,1.0879295975311372,2.986560213740948e-05
3.0,2.4308313363104395,0.771049185216089,0.000744106935390396,7.525475432280426e-06,7.058112417944964e-05,24.789748885963096,0.9341120329021664,5.520902943535099e-05
3.5,2.0868886846342316,0.7520614937150598,0.0011403835897414564,1.005367471202612e-05,0.00010086019435486204,17.74046595741866,0.8221899315510591,0.00010214128767429303
4.0,1.5771239303771818,0.7223527417100293,0.0015936259805311335,1.1824501505447605e-05,0.0001300765879239714,31.02394522658274,0.6469082933980215,0.0001820451805422002
4.5,1.386857901648871,0.7173132301449459,0.0019335004396825034,1.2252076001760446e-05,0.00014632745520340987,16.439121663017275,0.5728611190745495,0.00024117039729207166
