T_imp,v_imp,N_avg_points,time,Temp,Temp_std,Press,Press_std
0.8,1.0,18.0,261.0753266811371,0.8000372638333333,0.0020641565031309607,0.08558379603849334,0.013016940566296762
0.8,1.018888888888889,18.0,260.37312388420105,0.7996004502222223,0.0018903426283338248,-0.025636521359509445,0.013909070075637837
0.8,1.0377777777777777,18.0,258.5724220275879,0.8002281175277778,0.0025859775667333895,-0.10864867562832223,0.012141456904161756
0.8,1.0566666666666666,18.0,255.1265914440155,0.8006711827722222,0.0029994721633138967,-0.1813381462496261,0.014845509038136775
0.8,1.0755555555555556,18.0,243.05998706817627,0.8003138767777779,0.0023089134257668923,-0.24910151431088887,0.013428663974369759
0.8,1.0944444444444443,18.0,208.10355281829834,0.7998181287222224,0.0027865013783792882,-0.29898431284261107,0.011084695177285341
0.8,1.1133333333333333,18.0,203.3612768650055,0.7993469711222223,0.0026283592951176936,-0.34450200998833336,0.012653324810792947
0.8,1.1322222222222222,18.0,198.52521777153015,0.7999312608666668,0.002132154731187777,-0.3739259698888888,0.010294195528233902
0.8,1.151111111111111,18.0,196.3296937942505,0.8000538967888889,0.0021918041861725378,-0.40306466249,0.01172774932577767
0.8,1.17,18.0,193.84008884429932,0.8010441294666667,0.0014620069004275887,-0.4146299286222222,0.011266221366076615
0.8,23.0,18.0,36.09927320480347,0.8005099982722224,0.0023515844539380147,0.022334374162111106,0.0015611611640261975
0.8,24.88888888888889,18.0,26.1748104095459,0.8001732822999998,0.0018269765002622007,0.023424597553888888,0.0005188722837913097
0.8,26.77777777777778,18.0,24.167012214660645,0.8002364019055557,0.001630992968322379,0.022823988332777774,0.0003505662723874879
0.8,28.666666666666664,18.0,23.13845944404602,0.8001795709666667,0.0020188297914346402,0.022177080557777774,0.00019259848018717083
0.8,30.555555555555557,18.0,22.27381157875061,0.8004329376777778,0.0014729497398385245,0.021241573420555555,0.00027075595410889136
0.8,32.44444444444444,18.0,21.202866792678833,0.7997229174166667,0.0020336165006064268,0.020533099649444442,0.00025299461653698557
0.8,34.33333333333333,18.0,20.753236770629883,0.7999222907222223,0.0017096966806189552,0.01989806927166667,0.00021035854594191844
0.8,36.22222222222222,18.0,19.92431092262268,0.8004303758166667,0.001923619916788237,0.019140769329444442,0.00016765034445258723
0.8,38.111111111111114,18.0,19.291193962097168,0.7994134495944445,0.0021343246008310077,0.018541693621666668,0.00016249266546895837
0.8,40.0,18.0,18.857945442199707,0.8001097798277778,0.0016841837644498044,0.017941863427777777,0.00015313047280096103
0.9,1.0,18.0,217.0185558795929,0.8999751047666665,0.002171774296184268,0.5453957359444446,0.01579676111224502
0.9,1.0277777777777777,18.0,213.4102246761322,0.9004947108722222,0.002346910913268926,0.36257965779444445,0.011281213655022632
0.9,1.0555555555555556,18.0,209.13759636878967,0.8999072739944444,0.002805739374098691,0.2197677131405006,0.013049447207263521
