run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0            3 -0.074628134   0.18412307    -4.312496 
    9900    2.9965196    3.6715236    1.5990575   -2.8923449 
   10000    3.0149702     3.404542    1.5603907   -2.9586667 
   10100    2.9734583    3.3775012    1.5106387   -2.9461978 
   10200    2.9644737    3.3366221    1.4744854   -2.9688843 
   10300    2.9752284    3.3226444    1.4706347    -2.988855 
   10400    2.9935813    3.3301242    1.5165042   -2.9704941 
   10500    3.0549871    3.4221696    1.6215885   -2.9574493 
   10600    3.0402792    3.7531205    1.7252632   -2.8317294 
   10700    3.0963472    3.7503215    1.7608963   -2.8801351 
   10800    3.0955271    3.5456065    1.7174308   -2.9223713 
   10900    3.0001341    3.4773277    1.5984612   -2.8983589 
   11000    2.9784791    3.3474901    1.4824979   -2.9818642 
   11100    2.9264407    3.3842961    1.4459801    -2.940383 
   11200    2.9651958    3.2548263    1.4672039   -2.9772482 
   11300    2.9252746    3.6545853    1.5245134   -2.8601017 
   11400    3.0683842    3.2851787    1.5946701   -3.0044482 
   11500    3.0519903    3.5681358    1.6424772   -2.9320687 
   11600    3.0637945     3.469324    1.6577961   -2.9344428 
   11700    2.9745634    3.7527539     1.621328   -2.8371647 
   11800    2.9631306    3.5080408    1.5427131   -2.8986434 
   11900    2.9258935    3.3375089    1.4267248   -2.9588181 
   12000    2.8531492    3.4131836    1.3417362   -2.9347722 
   12100    2.8394911    3.5585778    1.3482847   -2.9077519 
   12200    2.9628459    3.3064974    1.4864664   -2.9544633 
   12300    3.0312466    3.5771399    1.6529453   -2.8905086 
   12400    3.0553916    3.6770728     1.695451   -2.8841931 
   12500    3.0627523    3.5884038    1.6764416   -2.9142352 
   12600    3.0063286    3.5946398    1.6195139   -2.8865909 
   12700    3.0416338    3.1826291    1.5478396   -3.0111833 
   12800    2.9560137    3.5367139    1.4992938   -2.9313954 
   12900    2.9910833    3.1985074    1.4873645   -2.9958896 
   13000    2.9717036    3.4522274    1.5051483   -2.9490581 
   13100    3.0641299    3.2982042    1.5872242   -3.0055175 
   13200    3.0556832    3.6937202    1.7215082    -2.858573 
   13300    3.0287616     4.031163    1.7985496   -2.7411795 
   13400    3.0793257    3.8371302    1.7959059   -2.8196123 
   13500    3.0848793    3.4490537    1.7116678   -2.9121745 
   13600    2.9978724    3.5189956    1.5814557   -2.9119743 
   13700    2.9538955     3.488841    1.5220291   -2.9054852 
   13800    2.9574616    3.4594817    1.5182998   -2.9145596 
   13900    2.9497058    3.5394428    1.5374908   -2.8837436 
   14000    3.0233818    3.4284405    1.5797007   -2.9519647 
   14100    3.0140243    3.6032432    1.6286111   -2.8890286 
   14200    3.0808048    3.4568079    1.6617982    -2.955937 
   14300    3.0296402    3.6264052    1.6626217   -2.8784242 
   14400    3.0473987    3.4241441    1.6173454   -2.9503184 
   14500    2.9741855    3.4200598    1.5047938   -2.9531325 
   14600    2.8979028    3.4177628    1.3961494   -2.9474389 
   14700      2.83801    3.5209777    1.3708884   -2.8829283 
   14800    2.9477322    3.2340416    1.4423641   -2.9759122 
   14900    2.9273048    3.7328693    1.5625123   -2.8251459 
   15000    3.0226767    3.5246774    1.6334081   -2.8972004 
   15100    3.0386584    3.5314691    1.6468252   -2.9077379 
   15200    3.0037882    3.6728057    1.6362038   -2.8660932 
   15300    3.0667287     3.291507     1.611821    -2.984816 
   15400    2.9828262    3.5541339    1.5757414   -2.8951363 
   15500    2.9789029    3.4769859    1.5280417   -2.9369556 
   15600    2.9454998    3.3680525    1.4760149   -2.9389153 
   15700    2.8745253    3.4754956     1.414787   -2.8937614 
   15800    2.8499655    3.5509755    1.3977917   -2.8739446 
   15900    2.9784279    3.2742059    1.4576257   -3.0066595 
   16000    3.0359339    3.4607452    1.5834156   -2.9670638 
   16100    3.0461669    3.6518992    1.6937095   -2.8721079 
   16200    3.0950937     3.607707     1.730913   -2.9082394 
   16300    3.0419757    3.8332428    1.7021091   -2.8574262 
   16400    3.0093504    3.6048046    1.6206713   -2.8899628 
   16500    3.0055326    3.3493469    1.5362635   -2.9686482 
   16600    3.0170531    3.1098561    1.4873162   -3.0348632 
   16700    2.9225747     3.486877    1.4809657   -2.8996027 
   16800    2.9599759    3.3737029    1.5074059   -2.9292222 
   16900    3.0077202     3.310279    1.5408335   -2.9673571 
   17000    3.0104924    3.3674184    1.5661177   -2.9462282 
   17100    2.9952191    3.4873247    1.5802358   -2.9092173 
   17200    3.0028739    3.5260684     1.590696   -2.9102306 
   17300    3.0267221      3.46236    1.6008291    -2.935843 
   17400    2.9931337    3.6335753    1.6007134   -2.8856141 
   17500    2.9793983     3.676696    1.5879923   -2.8777476 
