run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 10 10 10
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.732 | 2.732 | 2.732 Mbytes
Step Temp Press TotEng PotEng 
       0            3 -0.073397315     2.733411   -1.7632081 
    9900    3.0644448    1.2803984    2.8465873   -1.7466263 
   10000    3.0820775    1.2940455    2.8624582   -1.7571846 
   10100    3.0442479    1.3060333    2.8223412   -1.7405999 
   10200    3.0474759     1.162301    2.7399104   -1.8278691 
   10300    2.9574599     1.220437    2.6476785   -1.7851784 
   10400     2.914712     1.235489    2.6057624   -1.7630208 
   10500    2.9174893    1.2785805     2.626645    -1.746301 
   10600    3.0070153    1.1345726    2.6869224   -1.8202117 
   10700    3.0317222    1.1628379    2.7416045   -1.8025621 
   10800    3.0383258    1.1881468    2.7531008   -1.8009638 
   10900    2.9551454    1.4150904    2.7468324   -1.6825554 
   11000    3.0085483    1.1935613    2.7397234   -1.7697084 
   11100    3.0035123    1.2234436    2.7253355   -1.7765481 
   11200    2.9759195    1.2683632    2.7051707   -1.7553549 
   11300    2.9995162    1.1926603    2.6977642   -1.7981298 
   11400    2.9870391    1.1487499    2.7131955   -1.7639969 
   11500    3.0154972    1.2555397    2.7680731   -1.7517743 
   11600    3.0766509    1.2264904    2.8409132   -1.7705959 
   11700     3.096124    1.2945424    2.8891914   -1.7515053 
   11800    3.0965848    1.2377659    2.8751795    -1.766208 
   11900    3.0156475    1.3237378     2.780698   -1.7393747 
   12000    2.9299987    1.2537264    2.6532182   -1.7384779 
   12100      2.93049    1.1637709    2.5925764   -1.7998561 
   12200    2.9214254     1.163665    2.6057698   -1.7730759 
   12300    2.9717207    1.2225345    2.6706154   -1.7836166 
   12400    2.9719419    1.3973373    2.7451979   -1.7093656 
   12500    3.0254243    1.2655268    2.7895296   -1.7451973 
   12600    3.0056309    1.3287786    2.7902797   -1.7147794 
   12700     2.992251    1.3714352    2.7759617   -1.7090425 
   12800    2.9644104    1.3467583    2.7541972   -1.6890776 
   12900    3.0108871    1.2448301    2.7323459   -1.7805916 
   13000    2.9664892    1.3457846    2.7173268   -1.7290639 
   13100    2.9799548       1.2174     2.701763   -1.7648109 
   13200    2.9739995    1.2482707    2.6919671   -1.7656805 
   13300    3.0165884    1.1426693      2.70273   -1.8187529 
   13400    3.0142312    1.2405326    2.7424746   -1.7754751 
   13500    3.0613739    1.2572197    2.8008292   -1.7877815 
   13600    3.1208024    1.1763505     2.829736   -1.8479506 
   13700    3.0195214    1.2986387    2.8015554   -1.7243238 
   13800    3.0079198    1.2646092    2.7270228   -1.7814671 
   13900    2.9375507    1.1918539    2.6380511   -1.7649644 
   14000    2.8548252    1.3146444    2.5877872   -1.6912334 
   14100    2.9186638    1.1529312    2.5989595   -1.7757469 
   14200    2.9734737    1.2715047     2.696903   -1.7599565 
   14300    3.0701919    1.3132408    2.8425507   -1.7592771 
   14400    3.1008104    1.2783509     2.903184   -1.7445372 
   14500    3.0533914    1.3472052    2.8807158   -1.6959301 
   14600    3.0343056     1.321276    2.8271273   -1.7209115 
   14700    3.0239798      1.29273    2.7728085   -1.7597532 
   14800    2.9589947    1.3682421    2.7212044   -1.7139529 
   14900    2.9738715    1.2215214    2.6888365   -1.7686193 
   15000    2.9381415     1.291866    2.6803069   -1.7235941 
   15100    2.9630379    1.2573269    2.6917305   -1.7494872 
   15200    3.0080113    1.2632115    2.7442294   -1.7643976 
   15300    3.0702666    1.3544308    2.8724062   -1.7295336 
   15400    3.1857437    1.2898911    2.9771239   -1.7979013 
   15500    3.1905051    1.2421783    2.9647358   -1.8174262 
   15600    3.0792798    1.2201115    2.8392165   -1.7762329 
   15700    2.9762195    1.2624584     2.720148   -1.7408271 
   15800     2.949047     1.275026    2.6754611   -1.7447859 
   15900    3.0011542    1.1182412    2.6738569   -1.8244922 
   16000    2.9509482    1.3113025    2.6963354   -1.7267613 
   16100    2.9780348    1.3533454    2.7361496   -1.7275465 
   16200     3.028474     1.316954    2.7866536   -1.7526444 
   16300    3.0753394    1.2403292    2.8427235   -1.7668197 
   16400    3.0952245    1.2882449    2.8944562   -1.7448923 
   16500     3.129969    1.2316748    2.9000712   -1.7913549 
   16600    3.0148144    1.3412271    2.7957758   -1.7230482 
   16700     2.988513    1.1438949    2.6561551   -1.8232464 
   16800      2.88334    1.2434056    2.5854861   -1.7362745 
   16900    2.9241691    1.1992016    2.5868984   -1.7960597 
   17000    2.9607044    1.1888707    2.6485967   -1.7891233 
   17100    3.0204571    1.2479295    2.7399555   -1.7873262 
   17200    3.1000979    1.1537409    2.8151479   -1.8315052 
   17300    3.0315401    1.3485415    2.8349394   -1.7089544 
   17400    3.0522863    1.2778164    2.8106822   -1.7643074 
   17500    3.0320478    1.2196736    2.7646869   -1.7799678 
   17600    2.9804486    1.2481092    2.7265108   -1.7408033 
   17700    3.0101275    1.2273601    2.7111894   -1.8006095 
   17800    3.0135817    1.2044158    2.7067636   -1.8102128 
   17900    2.9652439    1.3302415    2.7037162   -1.7408079 
   18000    3.0205142    1.2003447    2.7118341   -1.8155331 
   18100    3.0213764    1.1951931    2.7228382   -1.8058214 
   18200    3.0170372    1.3134505    2.7352193   -1.7869364 
   18300    3.0288545    1.2529491    2.7360657   -1.8038026 
   18400    3.0205598    1.2457481    2.7298726   -1.7975631 
   18500    2.9764245    1.2367376    2.7150235   -1.7462589 
   18600    2.9819351    1.2185824    2.7002664   -1.7692756 
   18700    2.9761499    1.2167199    2.6956606   -1.7652102 
   18800    2.9650397    1.2948307    2.7153761   -1.7288419 
   18900    2.9917326    1.3770127    2.7597054   -1.7245219 
   19000    3.0446267    1.2882473    2.8118686   -1.7516402 
   19100    3.0398218    1.3078642     2.841368   -1.7149389 
   19200    3.0664008    1.1910001    2.8273689   -1.7687765 
   19300    2.9672309    1.3820454    2.7506024      -1.6969 
   19400    2.9539257    1.1305913    2.6438303   -1.7837293 
   19500    2.9163019    1.1397083    2.5710795   -1.8000867 
   19600    2.8970677    1.1352307    2.5693164   -1.7730201 
   19700    2.9476249    1.2549258    2.6499228   -1.7681926 
   19800    3.0215392    1.2919019    2.7899853   -1.7389184 
   19900    3.0700145     1.276111    2.8735583   -1.7280037 
   20000    3.0944935    1.2604052    2.8709823   -1.7672705 
   20100    3.0465267    1.3043196    2.8284026   -1.7379541 
   20200    3.0318707     1.260657    2.7679233    -1.776466 
   20300    2.9942713     1.157773    2.7081365    -1.779896 
   20400    2.9472447    1.2425386     2.664565   -1.7529805 
   20500    2.9484247    1.2182545    2.6525107   -1.7668036 
   20600     2.969102    1.2357824    2.6847653   -1.7655416 
   20700    2.9810443    1.3460758    2.7893123   -1.6788946 
   20800    3.0967712    1.4134028      2.94366   -1.6980069 
   20900    3.1814533    1.3088085    2.9917133   -1.7768812 
   21000    3.0764578    1.4303288    2.9191077   -1.6921119 
   21100    3.0201383    1.3216425    2.8175967   -1.7092071 
   21200    3.0327272    1.1654866    2.7540492   -1.7916239 
   21300    2.9940307    1.2065622    2.7260588   -1.7616132 
   21400    2.9727883    1.2664618    2.7152512    -1.740581 
   21500    2.9891317    1.2585209    2.7204213   -1.7599076 
   21600    3.0186387    1.1676197    2.7432477   -1.7813085 
   21700    3.0228492    1.2756176    2.7824152    -1.748452 
   21800    3.0581179    1.2790513    2.8395785   -1.7441519 
   21900    3.0955095    1.3054961    2.8958321   -1.7439435 
   22000    3.0659624    1.3945129    2.9047067   -1.6907816 
   22100    3.0745224    1.2088437    2.8286591   -1.7796596 
   22200    3.0063529    1.1820855     2.699632   -1.8065093 
   22300    2.9280366    1.1590519    2.6108422   -1.7779129 
   22400    2.8606875    1.3221959    2.5975851   -1.6902222 
   22500       2.9142    1.2579893    2.6520661   -1.7159497 
   22600    2.9630429    1.3456468    2.7451961   -1.6960289 
   22700    3.0490187    1.2726078    2.8122943   -1.7577975 
   22800    3.0763881    1.2269215    2.8229656   -1.7881496 
   22900    3.0701647    1.2306167    2.7960126   -1.8057744 
   23000    3.0190412    1.3177182    2.7492536   -1.7759058 
   23100    2.9831324    1.2453269    2.7081984   -1.7631383 
   23200    2.9862056    1.2265832    2.6877915   -1.7881515 
   23300    2.9260061    1.2866789    2.6861879   -1.6995237 
   23400    2.9996394    1.2841236    2.7106718   -1.7854068 
   23500    3.0206363    1.2346671    2.7454044   -1.7821459 
   23600    3.0158132    1.2846754    2.7924176   -1.7279034 
   23700     3.071301    1.3764458    2.9003583   -1.7031319 
   23800    3.1221677    1.4781368    3.0174196   -1.6623133 
   23900    3.2080719    1.2838841    3.0198796   -1.7886129 
   24000    3.0979453    1.2157049      2.88823   -1.7551967 
   24100     2.972491    1.3132473    2.7548052   -1.7005814 
   24200    2.9911892     1.143191    2.6948804   -1.7885324 
   24300     2.975714    1.1593386     2.676879   -1.7833384 
   24400    2.9897204    1.1653235    2.6877788   -1.7934324 
   24500    3.0287663     1.133491    2.7296606   -1.8100754 
   24600    3.0194176    1.3427678    2.7870557   -1.7386678 
   24700    3.0480825    1.2971962    2.8423263   -1.7263623 
   24800    3.0900334    1.2762408    2.8758501   -1.7557176 
   24900    3.0748748    1.2901924    2.8573783   -1.7514685 
   25000    2.9599174    1.3432514    2.7561239   -1.6804164 
   25100    2.9208084    1.2189351    2.6397308   -1.7381901 
   25200    2.8951696     1.264251    2.5821127   -1.7573789 
   25300    2.9121233     1.224658    2.5982505   -1.7666526 
   25400    2.9609717    1.2226372    2.6735867   -1.7645339 
   25500    3.0322861    1.3115658    2.7771301   -1.7678817 
   25600    3.0853843    1.2312307     2.839242   -1.7853573 
   25700    3.0250685    1.3876404    2.8359624   -1.6982312 
   25800    3.0333027    1.3082122    2.8020619   -1.7444737 
   25900    3.0089596    1.2987186    2.7654371   -1.7446113 
   26000    2.9900988    1.2636015     2.737743   -1.7440355 
   26100    2.9883652    1.3530165     2.722034   -1.7571461 
   26200    3.0282166    1.1513556    2.7127927   -1.8261195 
   26300    2.9960379    1.1954647    2.7033459   -1.7873345 
   26400    2.9875576    1.2317431    2.7065414   -1.7714281 
   26500    3.0301302    1.1156447    2.7238684    -1.817912 
   26600     3.055262    1.2265358    2.7680095   -1.8114403 
   26700    3.0486886    1.2593599    2.8059978   -1.7635993 
   26800    3.0262451     1.267869    2.8036805   -1.7322767 
   26900    3.0272938    1.3085995    2.7675317   -1.7699974 
   27000    2.9816266    1.2609067    2.7061316   -1.7629481 
   27100    2.9353022    1.2639495    2.6441589   -1.7554864 
   27200    2.9319229    1.2405179     2.614628   -1.7799522 
   27300    2.9585228    1.2001263    2.6309785   -1.8034716 
   27400     2.987595    1.2391797    2.7188927   -1.7591329 
   27500     3.070699    1.3203603    2.8538905   -1.7486974 
   27600    3.1139027    1.2736809    2.9194712   -1.7478736 
   27700    3.1041282    1.2813233    2.8985026   -1.7541915 
   27800    3.0654549    1.2078792    2.8182465   -1.7764813 
   27900    2.9837844    1.3176648    2.7389615   -1.7333524 
   28000    2.9891743    1.2285254    2.6978544   -1.7825383 
   28100    2.9870702    1.1686564    2.6858433   -1.7913956 
   28200    2.9639649     1.290999    2.6914104   -1.7511967 
   28300     3.023816     1.144258    2.7091319   -1.8231844 
   28400    2.9972929    1.2675203    2.7316049   -1.7609566 
   28500    3.0041582    1.2809323    2.7549918   -1.7478598 
   28600    3.0053942    1.3531516    2.7892694   -1.7154349 
   28700    3.1028549    1.2206335    2.8502902   -1.8004953 
   28800    3.0965062    1.2509123    2.8996675   -1.7416021 
   28900     3.077703    1.3136812    2.8928048   -1.7202813 
   29000    3.0414918    1.2458124    2.8138428   -1.7449673 
   29100    2.9755526    1.2168512    2.7072311   -1.7527445 
   29200    2.9619492    1.1759803    2.6356466   -1.8039392 
   29300    2.9205188     1.237176    2.6113896   -1.7660973 
   29400    2.9208844    1.2777698    2.6363935   -1.7416413 
   29500    3.0017819    1.2155983    2.7248689    -1.774421 
   29600    3.1012712    1.1732966    2.8618298   -1.7865819 
   29700    3.1047464    1.3343237    2.9274159   -1.7262048 
   29800    3.0903409    1.3947126    2.9040721   -1.7279565 
   29900    3.0835331    1.3066139    2.8419528   -1.7798718 
   30000    3.0568781    1.2296462    2.7786365   -1.8032357 
   30100    2.9769857    1.3501301    2.7190225   -1.7431011 
   30200    2.9456667    1.2336477     2.677739   -1.7374414 
   30300    2.9513795    1.2622082    2.6716999   -1.7520432 
   30400    2.9661902    1.2538776    2.6990881   -1.7468544 
   30500    3.0082083    1.2472774    2.7577406   -1.7511817 
   30600    3.0777993    1.2886128    2.8541906   -1.7590397 
   30700    3.0945517    1.3812291    2.9514451    -1.686895 
   30800    3.1360006    1.3288469    2.9838042   -1.7166626 
   30900    3.0736195    1.3949235    2.8870213   -1.7199441 
   31000    3.0032374    1.1543535     2.700121   -1.8013505 
   31100    2.9177752    1.3131432    2.6303657    -1.743009 
   31200    2.9096102    1.2298915    2.6318664   -1.7292699 
   31300    2.9212615    1.3663097    2.6804304   -1.6981698 
   31400    2.9883718    1.2997584    2.7618748   -1.7173152 
   31500    3.0458409    1.2671564    2.8388389   -1.7264899 
   31600    3.0875636    1.2651104    2.8714246   -1.7564413 
   31700    3.0546919    1.3076614    2.8460526   -1.7325427 
   31800    3.0055105    1.3123863      2.75964   -1.7452386 
   31900    2.9171827    1.3169023    2.6225097   -1.7499768 
   32000    2.8932433     1.099109    2.5382007   -1.7984037 
   32100    2.8829858    1.1289507    2.5571538   -1.7640758 
   32200    2.9271661    1.2192714    2.6225046   -1.7649456 
   32300    2.9869306    1.1574345    2.6789493   -1.7980804 
   32400    2.9802739     1.210134    2.7217406   -1.7453116 
   32500    3.0427145    1.2373336    2.7556999   -1.8049427 
   32600    3.0054558    1.3070642    2.7676824   -1.7371143 
   32700     3.043593    1.1506639     2.763399   -1.7985605 
   32800    2.9894895    1.2103339    2.7325862   -1.7482789 
   32900    2.9786473    1.2192625    2.6811645   -1.7834496 
   33000    2.9905948    1.0637455    2.6156511   -1.8668708 
   33100    2.8847228    1.2157768    2.5623001    -1.761533 
   33200    2.9035768     1.179925    2.5642049    -1.787888 
   33300    2.9594102    1.1884121    2.6528583   -1.7829219 
   33400      3.02455    1.3363493    2.7897651   -1.7436514 
   33500     3.058743    1.3412089    2.8651162   -1.7195511 
   33600    3.0903973    1.2785621     2.873908   -1.7582052 
   33700    3.0344862    1.3289433    2.8244193   -1.7238902 
   33800    2.9847158    1.3151176    2.7446892   -1.7290208 
   33900    2.9739432    1.2423456    2.6755155   -1.7820478 
   34000    2.9299355    1.2253579    2.6476409   -1.7439604 
   34100    2.9519705    1.2319468    2.6635701   -1.7610589 
   34200    2.9703445    1.2736255    2.6943951   -1.7577741 
   34300     3.024397    1.1280748    2.7200121    -1.813175 
   34400    2.9813356    1.3188341    2.7321442   -1.7364993 
   34500    3.0399987    1.2211676    2.7434854   -1.8130867 
   34600    2.9637605    1.3243699    2.7463142   -1.6959864 
   34700    3.0032862    1.2674652    2.7391644   -1.7623804 
   34800    2.9603434    1.3185462    2.7269569    -1.710222 
   34900    2.9524671    1.3399043    2.7113224   -1.7140509 
   35000    2.9859061    1.1990423    2.6862745   -1.7892196 
   35100    2.9417734      1.21205    2.6616361   -1.7477087 
   35200    2.9514684    1.1757791    2.6678395   -1.7560369 
   35300    2.9970468    1.2656239    2.7194282   -1.7727644 
   35400    3.0453438    1.2562012    2.7985957    -1.765988 
   35500    3.0809116    1.2898998    2.8578501   -1.7600451 
   35600    3.1279331    1.1943236    2.8608429   -1.8275317 
   35700    3.0670303    1.2042942    2.7805225   -1.8165666 
   35800    2.9490679    1.1473178    2.6536782   -1.7666001 
   35900    2.9031852    1.1808648    2.5862777   -1.7652283 
   36000     2.914255    1.2058894    2.5969187   -1.7711796 
   36100    2.9280585    1.2803001    2.6516469    -1.737141 
   36200    2.9556817    1.2677946    2.7059763   -1.7242153 
   36300    2.9900584    1.2760702    2.7475897   -1.7341282 
   36400    3.0064717    1.2916157    2.7701331   -1.7361863 
   36500    3.0247722    1.1964894    2.7807583   -1.7529911 
   36600    3.0266841    1.2718143    2.7757537   -1.7608615 
   36700    3.0256091    1.1966647    2.7531958    -1.781808 
   36800    3.0008774    1.2499409    2.7083034   -1.7896308 
   36900    2.9330073    1.2419442    2.6254151   -1.7707905 
   37000    2.8688886    1.2318894    2.5192317    -1.780868 
   37100    2.8216035    1.1972069    2.4660873   -1.7631381 
   37200    2.8621569    1.1476085    2.5178765   -1.7721333 
   37300    2.9912798    1.2400703    2.6747113   -1.8088374 
   37400    3.0318824    1.3195525    2.7722618   -1.7721449 
   37500     3.040838    1.3049489    2.8010939   -1.7567361 
   37600    3.0401572    1.2313555    2.7839688   -1.7728408 
   37700    2.9864662    1.2580882    2.7346482   -1.7416855 
   37800    2.9862792    1.1196833    2.6741096   -1.8019437 
   37900    2.9246478    1.2416073    2.6288035   -1.7548721 
   38000    2.9117958    1.2675314    2.6236386   -1.7407736 
   38100    3.0025805    1.2021716    2.6876424   -1.8128446 
   38200    3.0692746    1.2785332    2.8307774   -1.7696755 
   38300    3.1250632    1.3237806     2.924521    -1.759552 
   38400     3.087645    1.4123534    2.9077093   -1.7202785 
   38500    3.0389356    1.2560919    2.8141218   -1.7408568 
   38600    2.9960168    1.1964885    2.7174874   -1.7731614 
   38700    2.9736158    1.2009891    2.6738176   -1.7832549 
   38800    3.0006758    1.0667768      2.67298    -1.824652 
   38900    2.9782219    1.2314327    2.6965386   -1.7674379 
   39000    3.0184616    1.1459025    2.7339444   -1.7903463 
   39100    3.0313201     1.211299    2.7691302   -1.7744338 
   39200    3.0446616    1.2339124    2.7969769   -1.7665842 
   39300     3.037697    1.2751865     2.817221   -1.7359011 
   39400    3.0453859    1.2353411    2.8030064   -1.7616404 
   39500    3.0273309    1.2089242    2.7240174   -1.8135672 
   39600    2.9406094    1.1945659    2.6309101     -1.77669 
   39700    2.9284859    1.1303851    2.5905381   -1.7988905 
   39800    2.8970462    1.2654761    2.6151497   -1.7271547 
   39900    2.9766293     1.236499    2.7080726   -1.7535167 
   40000    3.0500941    1.2903684    2.8179395   -1.7537643 
   40100       3.1367    1.1311989    2.8677223   -1.8337926 
   40200    3.0879867    1.2541402    2.8517242   -1.7767758 
   40300    3.0096375    1.3653131    2.7850849   -1.7259796 
   40400     2.986327    1.1635949    2.7067398   -1.7693852 
   40500    2.9460218    1.1885386    2.6644678   -1.7512447 
   40600     2.967173    1.1928495    2.6643224   -1.7830931 
   40700     2.973548    1.2109523    2.6855829   -1.7713879 
   40800    2.9627593    1.2444718    2.7090382   -1.7317619 
   40900    2.9706842    1.2634286    2.7343221   -1.7183563 
   41000    2.9914414    1.2800958    2.7664286   -1.7173622 
   41100    3.0412457    1.2512912     2.791705   -1.7667362 
   41200    3.0446584    1.2557997    2.8005292   -1.7630272 
   41300    3.0216852     1.284832    2.7907589   -1.7383636 
   41400    2.9830312    1.3390819    2.7415795   -1.7296055 
   41500    2.9066405    1.3165581    2.6528556   -1.7038295 
   41600    2.9422496    1.1153357    2.5792772   -1.8307814 
   41700    2.9107897    1.0998885    2.5684838   -1.7944204 
   41800    2.9207254    1.3184977    2.6390581   -1.7387384 
   41900    3.0132969    1.2423123    2.7710872   -1.7454623 
   42000    3.0676061    1.2932991    2.8551249   -1.7428271 
   42100    3.1048892    1.2018198    2.8574487    -1.796386 
   42200    3.0469099    1.2092991    2.8110994   -1.7558317 
   42300    3.0315979     1.119291    2.7561207   -1.7878596 
   42400    2.9386397    1.3459615    2.7160317    -1.688616 
   42500    2.9721027    1.2676222    2.7010145     -1.75379 
   42600    2.9993089    1.2107715    2.7004939   -1.7950893 
   42700    2.9537585    1.3153157    2.7472974   -1.6800116 
   42800    3.0985908    1.2759101    2.8979358   -1.7464583 
   42900    3.1745499    1.3273111     3.012166   -1.7460812 
   43000    3.1432647    1.3871965    2.9859453   -1.7254093 
   43100    3.0878653     1.235747    2.8591778   -1.7691401 
   43200    3.0093938    1.2821988     2.741627   -1.7690723 
   43300    2.9124061    1.4018546    2.6810446   -1.6842824 
   43400    2.9537134    1.2412935     2.666471   -1.7607704 
   43500    2.9715854    1.1900969    2.6806046   -1.7734247 
   43600    2.9872916    1.2518312     2.720043   -1.7575278 
   43700    3.0325936    1.2205054    2.7857038    -1.759769 
   43800    3.0964616     1.247659    2.8669199   -1.7742829 
   43900    3.0895925    1.3578279    2.9190799   -1.7118269 
   44000    3.1149332    1.2551556    2.9031522   -1.7657371 
   44100    3.0182512     1.250079    2.7685663   -1.7554091 
   44200    2.8836448    1.3401848    2.6242718   -1.6979456 
   44300    2.9146247    1.1976737    2.5819413   -1.7867111 
   44400    2.8614829    1.4032665    2.6108581   -1.6781414 
   44500    2.9400425    1.2930283    2.6899593   -1.7167911 
   44600    3.0644893    1.2098798    2.7763724   -1.8169079 
   44700    3.0829506    1.2864348    2.8250283   -1.7959232 
   44800    3.0230919    1.3065141    2.8272408   -1.7039901 
   44900    3.0068237    1.3001293    2.7991265   -1.7077205 
   45000    2.9968289    1.2974522    2.7557595   -1.7361066 
   45100    2.9975486    1.1490248    2.6985939   -1.7943509 
   45200    2.9224415     1.265677    2.6312822   -1.7490866 
