run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0          0.9    2.5711078   -3.0660239   -4.4150096 
     100   0.98617282  -0.18408502   -3.0271531   -4.5053009 
     200   0.91075273  -0.15236191   -3.0346322   -4.3997349 
     300   0.90316805  -0.24579357    -3.052048   -4.4057822 
     400   0.88422424  -0.13470294   -3.0660815   -4.3914214 
     500   0.87763824  -0.01907559   -3.0692186   -4.3846869 
     600   0.92398351  -0.31738787   -3.0605281   -4.4454621 
     700   0.87282964  -0.04707665   -3.0418599   -4.3501207 
     800   0.92040303  0.040168893   -3.0005307    -4.380098 
     900   0.94073912  0.019115735    -2.966635   -4.3766835 
    1000   0.93986856 -0.053141479   -2.9651161   -4.3738597 
    1100   0.92783706 -0.052366096   -2.9846221   -4.3753321 
    1200   0.91304952  -0.11071532   -3.0056169   -4.3741622 
    1300   0.88777883  -0.10149231   -3.0173485   -4.3480163 
    1400    0.8988325  -0.17027675   -3.0247175   -4.3719533 
    1500   0.90812718  -0.20473046   -3.0321651   -4.3933324 
    1600   0.89277146  -0.16182602   -3.0381003   -4.3762514 
    1700    0.9057707  -0.17327336   -3.0452037    -4.402839 
    1800   0.87595381 -0.077175629   -3.0570983   -4.3700418 
    1900   0.86513625  -0.13262051   -3.0733448   -4.3700742 
    2000   0.85267872  -0.10090511   -3.0904846   -4.3685417 
    2100   0.86823375  -0.30720581    -3.092079   -4.3934511 
    2200   0.87950198   -0.1737119   -3.0705486   -4.3888104 
    2300   0.91604441  -0.23489065   -3.0289118    -4.401946 
    2400   0.90607797  -0.02884364   -3.0011797   -4.3592756 
    2500   0.91208516 -0.034353517   -2.9932744   -4.3603742 
    2600   0.90659471 -0.0054989679   -3.0005519   -4.3594222 
    2700   0.92234992  -0.19531397   -3.0169977   -4.3994831 
    2800   0.90204107  -0.15752596   -3.0400413   -4.3920863 
    2900     0.889063  -0.12020315   -3.0620909   -4.3946835 
    3000   0.87410349  -0.12560492   -3.0771301   -4.3873002 
    3100   0.86341651 -0.089174831   -3.0854866   -4.3796384 
    3200   0.86589919  -0.11315833   -3.0842824   -4.3821554 
    3300   0.88853161   -0.1730988   -3.0547952   -4.3865913 
    3400   0.90935827 -0.028752157   -3.0140653   -4.3770778 
    3500   0.92727859 -0.058348412   -2.9906271      -4.3805 
    3600   0.92287959 -0.025538007   -2.9847959   -4.3680753 
    3700   0.90857124 -0.081233435   -2.9943531   -4.3561861 
    3800   0.89495262  0.015297892   -3.0187694   -4.3601897 
    3900   0.89557037     -0.19635   -3.0473061   -4.3896524 
    4000   0.88644486 -0.087273878   -3.0675604   -4.3962287 
    4100   0.87661231  -0.16096845   -3.0752453   -4.3891759 
    4200   0.88720921  -0.15872766   -3.0672597   -4.3970736 
    4300   0.91521224   -0.2205406   -3.0398929   -4.4116798 
    4400   0.94042806  -0.14735658   -2.9915125   -4.4010948 
    4500   0.94405252 -0.097682461   -2.9621563   -4.3771712 
    4600   0.94226398  0.033804792   -2.9652558   -4.3775898 
    4700   0.92388222 -0.051447249   -2.9846874   -4.3694696 
    4800   0.91181468  -0.20459979   -3.0093618   -4.3760563 
    4900   0.89941471  -0.17444393    -3.030204   -4.3783125 
    5000   0.86755938 -0.087550183    -3.046507   -4.3468683 
    5100   0.87804809  -0.19670717   -3.0539218   -4.3700045 
    5200   0.86065476 -0.010622287   -3.0491545   -4.3391667 
    5300   0.89630386 -0.025717197   -3.0242172   -4.3676629 
